history_arm,history_label,metric,n,mean,sd,ci_low,ci_high
private,Private memory,final_balance,5,66.025,2.073173141587552,63.45081554804774,68.59918445195227
private,Private memory,mean_trust_ratio,5,0.8204999999999998,0.041463462831751056,0.7690163109609545,0.8719836890390451
private,Private memory,mean_return_ratio,5,0.399129384782028,0.037174088379178474,0.35297165757555704,0.4452871119884989
private,Private memory,return_over_sent,5,1.2080974115838388,0.12423265599815511,1.0538421952296964,1.3623526279379812
private,Private memory,mean_sent,5,4.102500000000001,0.2073173141587552,3.8450815548047745,4.359918445195227
private,Private memory,mean_returned,5,4.9727,0.7271697091721432,4.069799551536646,5.875600448463353
dossier,Current-partner dossier,final_balance,5,62.6375,1.2345925441213388,61.10455088551374,64.17044911448626
dossier,Current-partner dossier,mean_trust_ratio,5,0.7527499999999999,0.02469185088242681,0.7220910177102746,0.7834089822897252
dossier,Current-partner dossier,mean_return_ratio,5,0.3870612617122872,0.038614169882772345,0.33911543714832465,0.4350070862762498
dossier,Current-partner dossier,return_over_sent,5,1.1675241147068012,0.11871852309816196,1.0201155986558912,1.3149326307577112
dossier,Current-partner dossier,mean_sent,5,3.7637500000000004,0.12345925441213386,3.610455088551374,3.9170449114486265
dossier,Current-partner dossier,mean_returned,5,4.391324999999999,0.42975935853684405,3.8577082766136552,4.924941723386343
public_ledger,Public population ledger,final_balance,5,62.0375,1.943337978839502,59.62452719533292,64.45047280466709
public_ledger,Public population ledger,mean_trust_ratio,5,0.74075,0.03886675957679003,0.6924905439066584,0.7890094560933416
public_ledger,Public population ledger,mean_return_ratio,5,0.44072640756302517,0.03228142064599094,0.40064372973602647,0.48080908539002387
public_ledger,Public population ledger,return_over_sent,5,1.3273427807050169,0.09348984852013163,1.2112598016000458,1.443425759809988
public_ledger,Public population ledger,mean_sent,5,3.7037500000000003,0.1943337978839503,3.462452719533292,3.9450472804667087
public_ledger,Public population ledger,mean_returned,5,4.90805,0.3032952563097553,4.5314591994141935,5.284640800585807
