Task Order,condition_a,condition_b,n_a,n_b,median_a,median_b,p_raw,p_corrected,significant
Game Only,No Noise,Bootstrap,15,10,71.0,63.0,0.07720695374206028,0.6948625836785426,False
Game Only,No Noise,Bootstrap Informed,15,10,71.0,72.0,0.25694541819648975,1.0,False
Game Only,Bootstrap,Bootstrap Informed,10,10,63.0,72.0,0.05509136838257344,0.49582231544316097,False
Game -> Myth,No Noise,Bootstrap,15,10,72.0,69.0,0.21731518399096883,1.0,False
Game -> Myth,No Noise,Bootstrap Informed,15,10,72.0,70.5,0.7570178995881252,1.0,False
Game -> Myth,Bootstrap,Bootstrap Informed,10,10,69.0,70.5,0.5913536208220357,1.0,False
Myth -> Game,No Noise,Bootstrap,15,10,72.0,71.0,0.3962383568301372,1.0,False
Myth -> Game,No Noise,Bootstrap Informed,15,10,72.0,69.5,0.20444430014250514,1.0,False
Myth -> Game,Bootstrap,Bootstrap Informed,10,10,71.0,69.5,0.44450890263539555,1.0,False
