Task Order,condition_a,condition_b,n_a,n_b,median_a,median_b,p_raw,p_corrected,significant
Game Only,No Noise,Positive +5,16,15,75.0,75.0,0.3252795957887066,1.0,False
Game Only,No Noise,Positive +5 Informed,16,15,75.0,74.99999999999999,0.010363395420013053,0.09327055878011747,False
Game Only,Positive +5,Positive +5 Informed,15,15,75.0,74.99999999999999,0.12445523664970617,1.0,False
Game -> Myth,No Noise,Positive +5,15,15,75.0,75.0,0.057162339550786936,0.5144610559570825,False
Game -> Myth,No Noise,Positive +5 Informed,15,15,75.0,75.0,0.028921236868199748,0.2602911318137977,False
Game -> Myth,Positive +5,Positive +5 Informed,15,15,75.0,75.0,0.6140324744969898,1.0,False
Myth -> Game,No Noise,Positive +5,15,15,75.0,75.0,0.5060247061776126,1.0,False
Myth -> Game,No Noise,Positive +5 Informed,15,15,75.0,75.0,0.5060247061776126,1.0,False
Myth -> Game,Positive +5,Positive +5 Informed,15,15,75.0,75.0,0.9439963337808861,1.0,False
