model,task_order,noise_condition,round,ttr_mean,ttr_std,ttr_count,entropy_bits_mean,entropy_bits_std,entropy_bits_count,mean_sentence_length_mean,mean_sentence_length_std,mean_sentence_length_count,n_tokens_mean,n_tokens_std,n_tokens_count
anthropic/claude-sonnet-4.5,myth_game,no_noise,1,0.612507226666515,0.03900429136884909,40,6.5058219137319755,0.16088928954095488,40,14.278976958499019,1.6011373338717625,40,204.35,5.337578438743879,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,2,0.6325994809393485,0.02941006136531551,40,6.604250531159439,0.11925622742307483,40,13.562815269633187,1.8821305251163354,40,206.6,7.489479801181626,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,3,0.6182924613797536,0.030957314083100783,40,6.633049718781114,0.12374915092619468,40,12.807831466349267,1.604073606754062,40,212.725,5.6703796282264145,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,4,0.6480902746760099,0.03258089042906274,40,6.777344446750661,0.08984389673331562,40,12.660854651669279,1.7366711656744032,40,214.3,6.884393349807372,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,5,0.6295932438098293,0.03889720015195322,40,6.753699309763202,0.13265164143589034,40,12.326107844254128,2.082847251137147,40,217.45,6.063552314169202,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,6,0.6235981988171244,0.04151435597108943,40,6.763924078969367,0.12059815483402356,40,12.301662796496851,1.9012799574621175,40,219.4,7.041270281667025,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,7,0.633086056794822,0.041169198164331566,40,6.787895995224493,0.13248563993979529,40,11.76727174006521,1.7836588962881539,40,218.55,5.974089352340123,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,8,0.6378211821346893,0.037995261284223876,40,6.81176739527741,0.13917939577402572,40,12.030862420233332,1.7942303885886761,40,218.1,6.986433740489954,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,9,0.6311183402680952,0.0396536347711685,40,6.806726491750081,0.12464548341015873,40,11.41666623576895,1.648140709340895,40,220.0,7.442084075352504,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,10,0.6285369573146282,0.030720327667448526,40,6.806416085275029,0.08692849263473997,40,11.390040269972546,1.4241888750233818,40,220.575,5.900401985436549,40
