model,task_order,noise_condition,round,ttr_mean,ttr_std,ttr_count,entropy_bits_mean,entropy_bits_std,entropy_bits_count,mean_sentence_length_mean,mean_sentence_length_std,mean_sentence_length_count,n_tokens_mean,n_tokens_std,n_tokens_count
google/gemini-3.1-flash-lite,myth_game,no_noise,1,0.5839992875177044,0.025568424470686968,40,6.248170097765927,0.16076701097889354,40,16.020216762404264,1.7227113393754059,40,205.125,9.840230089033904,40
google/gemini-3.1-flash-lite,myth_game,no_noise,2,0.5781680976805574,0.030906142223511884,40,6.18593988168299,0.13271493878765894,40,17.542900155400154,1.7972836597516633,40,202.3,6.140241371685975,40
google/gemini-3.1-flash-lite,myth_game,no_noise,3,0.5903597766791846,0.03068105534846975,40,6.196682643719298,0.14355035670985936,40,19.569407467532468,2.3591294794001754,40,201.9,5.338779270822507,40
google/gemini-3.1-flash-lite,myth_game,no_noise,4,0.59695344786817,0.02899463387331138,40,6.231228040575723,0.14002745986065593,40,20.518705808080806,1.9553788681818938,40,201.775,5.385105289069009,40
google/gemini-3.1-flash-lite,myth_game,no_noise,5,0.5953756562470633,0.02477288620276014,40,6.212116761126042,0.12273725164253363,40,20.489810606060608,2.4237621109625307,40,201.775,3.4380040423000957,40
google/gemini-3.1-flash-lite,myth_game,no_noise,6,0.6076528627743787,0.01996288728181233,40,6.259662988604015,0.10091508706891436,40,21.51729166666667,2.085352076153704,40,201.475,4.1570915621874684,40
google/gemini-3.1-flash-lite,myth_game,no_noise,7,0.604962167473043,0.04706815897799369,40,6.230193992258777,0.2166970763949658,40,21.668897005772003,2.447155697548119,40,198.35,24.826113216448068,40
google/gemini-3.1-flash-lite,myth_game,no_noise,8,0.6029877192692479,0.02202659253439341,40,6.257503690668237,0.11058053099800051,40,21.58289772727273,1.9338063484298864,40,202.275,3.679377734457353,40
google/gemini-3.1-flash-lite,myth_game,no_noise,9,0.6060786711229175,0.02371031974139662,40,6.24360868644031,0.10960608337468096,40,21.258636363636363,1.826291148658297,40,200.475,3.3664064382798937,40
google/gemini-3.1-flash-lite,myth_game,no_noise,10,0.6090515019006296,0.02860437793723313,40,6.278299348249178,0.1270445840093635,40,21.024791666666665,1.8923708214735764,40,201.35,3.3015148038438356,40
