myth_topic,myth_topic_label,condition,filename,num_rounds,mean_trust_ratio,std_trust_ratio,mean_return_ratio,std_return_ratio,mean_sent,mean_returned,cooperation_stability,final_cumulative_balance,final_agent_1_balance,final_agent_2_balance
noisy_deterministic_max,Noisy Deterministic Max,myth_game,noise_deterministic_max_mem3_gpt5_nano_071_neutral_anything.json,10,0.4,0.4898979485566356,0.21666666666666665,0.35,2.0,7.7,0.35,45.0,62.0,28.0
noisy_deterministic_max,Noisy Deterministic Max,myth_game,noise_deterministic_max_mem3_gpt5_nano_067_neutral_anything.json,10,0.16,0.332264954516723,0.0,0.0,0.8,1.5,0.0,33.0,2.0,64.0
noisy_deterministic_max,Noisy Deterministic Max,myth_game,noise_deterministic_max_mem3_gpt5_nano_069_neutral_anything.json,10,0.26,0.41036569057366384,0.04666666666666667,0.13999999999999999,1.3,2.2,0.13999999999999999,38.0,30.0,46.0
noisy_deterministic_max,Noisy Deterministic Max,myth_game,noise_deterministic_max_mem3_gpt5_nano_063_neutral_anything.json,10,0.26,0.41036569057366384,0.17777777777777776,0.3590109871423003,1.3,3.7,0.3590109871423003,38.0,9.0,67.0
noisy_deterministic_max,Noisy Deterministic Max,game_myth,noise_deterministic_max_mem3_gpt5_nano_030_neutral_anything.json,10,0.0,0.0,0.0,0.0,0.0,1.5,0.0,25.0,40.0,10.0
noisy_deterministic_max,Noisy Deterministic Max,game_myth,noise_deterministic_max_mem3_gpt5_nano_040_neutral_anything.json,10,0.36,0.4543126676640219,0.06666666666666667,0.19999999999999998,1.8,1.5,0.19999999999999998,43.0,22.0,64.0
noisy_deterministic_max,Noisy Deterministic Max,game_myth,noise_deterministic_max_mem3_gpt5_nano_038_neutral_anything.json,10,0.38,0.40447496832313373,0.2555555555555556,0.5044248650140519,1.9,5.5,0.5044248650140519,44.0,45.0,43.0
noisy_deterministic_max,Noisy Deterministic Max,game_myth,noise_deterministic_max_mem3_gpt5_nano_032_neutral_anything.json,10,0.34,0.42941821107167777,0.11555555555555555,0.23132468763863295,1.7,2.1,0.23132468763863295,42.0,17.0,67.0
noisy_deterministic_max,Noisy Deterministic Max,game_myth,noise_deterministic_max_mem3_gpt5_nano_042_neutral_anything.json,10,0.16,0.33226495451672294,0.0,0.0,0.8,1.0,0.0,33.0,59.0,7.0
noisy_deterministic_max,Noisy Deterministic Max,game_myth,noise_deterministic_max_mem3_gpt5_nano_044_neutral_anything.json,10,0.16,0.332264954516723,0.0,0.0,0.8,1.2,0.0,33.0,5.0,61.0
