noise_condition,task_order,n,mean,median,std,min,max
no_noise,game,16,74.625,75.0,1.4523687548277813,69.0,75.0
no_noise,game_myth,15,74.2,75.0,2.9933259094191524,63.0,75.0
no_noise,myth_game,15,71.53333333333333,75.0,7.219110440736833,54.0,75.0
noise,game,15,34.56666666666667,32.5,5.58828138955877,29.0,50.50000000000001
noise,game_myth,15,32.06666666666667,31.0,2.4890872936792623,29.0,37.5
noise,myth_game,15,30.966666666666665,30.5,2.6861786157207708,27.0,36.5
noise_informed,game,15,33.63333333333333,32.0,4.616877251514876,29.0,46.5
noise_informed,game_myth,15,31.366666666666667,30.5,1.9102065042525873,29.0,35.0
noise_informed,myth_game,15,31.466666666666665,30.5,2.194437412084372,29.0,37.0
