condition,condition_label,replicate_id,pairing_seed,noise_seed,total_sends,maximum_sends,maximum_send_rate,path,num_agents,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions
game,Game only,90,202608290,202608290,40,40,1.0,data/json/noise_experiments/gemini37_flash_task_order_n3_20260823/noise8_crossmodel_gemini37_flash_n3_game/gemini-3.7-flash/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_gemini37_flash_n3_game_000_neutral_rep90.json,8,75.0,600.0,1.0,0.46595,5.0,6.98925,4.654722222222222,40
game,Game only,91,202608291,202608291,40,40,1.0,data/json/noise_experiments/gemini37_flash_task_order_n3_20260823/noise8_crossmodel_gemini37_flash_n3_game/gemini-3.7-flash/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_gemini37_flash_n3_game_001_neutral_rep91.json,8,75.0,600.0,1.0,0.4783666666666667,5.0,7.1754999999999995,4.7941666666666665,40
game,Game only,92,202608292,202608292,40,40,1.0,data/json/noise_experiments/gemini37_flash_task_order_n3_20260823/noise8_crossmodel_gemini37_flash_n3_game/gemini-3.7-flash/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_gemini37_flash_n3_game_002_neutral_rep92.json,8,75.0,600.0,1.0,0.47490000000000004,5.0,7.1235,4.77,40
game_myth,Game → Myth,90,202608290,202608290,40,40,1.0,data/json/noise_experiments/gemini37_flash_task_order_n3_20260823/noise8_crossmodel_gemini37_flash_n3_game_myth/gemini-3.7-flash/game_myth/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_gemini37_flash_n3_game_myth_000_neutral_rep90_memtest_memory_primary_anything.json,8,75.0,600.0,1.0,0.46593333333333325,5.0,6.989,4.654722222222222,40
game_myth,Game → Myth,91,202608291,202608291,40,40,1.0,data/json/noise_experiments/gemini37_flash_task_order_n3_20260823/noise8_crossmodel_gemini37_flash_n3_game_myth/gemini-3.7-flash/game_myth/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_gemini37_flash_n3_game_myth_001_neutral_rep91_memtest_memory_primary_anything.json,8,75.0,600.0,1.0,0.4783083333333334,5.0,7.174625000000001,4.7941666666666665,40
game_myth,Game → Myth,92,202608292,202608292,40,40,1.0,data/json/noise_experiments/gemini37_flash_task_order_n3_20260823/noise8_crossmodel_gemini37_flash_n3_game_myth/gemini-3.7-flash/game_myth/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_gemini37_flash_n3_game_myth_002_neutral_rep92_memtest_memory_primary_anything.json,8,75.0,600.0,1.0,0.4756166666666667,5.0,7.13425,4.77,40
myth_game,Myth → Game,90,202608290,202608290,40,40,1.0,data/json/noise_experiments/gemini37_flash_task_order_n3_20260823/noise8_crossmodel_gemini37_flash_n3_myth_game/gemini-3.7-flash/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_gemini37_flash_n3_myth_game_000_neutral_rep90_memtest_memory_primary_anything.json,8,75.0,600.0,1.0,0.46593333333333325,5.0,6.989,4.654722222222222,40
myth_game,Myth → Game,91,202608291,202608291,40,40,1.0,data/json/noise_experiments/gemini37_flash_task_order_n3_20260823/noise8_crossmodel_gemini37_flash_n3_myth_game/gemini-3.7-flash/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_gemini37_flash_n3_myth_game_001_neutral_rep91_memtest_memory_primary_anything.json,8,75.0,600.0,1.0,0.4783083333333334,5.0,7.174625000000001,4.7941666666666665,40
myth_game,Myth → Game,92,202608292,202608292,40,40,1.0,data/json/noise_experiments/gemini37_flash_task_order_n3_20260823/noise8_crossmodel_gemini37_flash_n3_myth_game/gemini-3.7-flash/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_gemini37_flash_n3_myth_game_002_neutral_rep92_memtest_memory_primary_anything.json,8,75.0,600.0,1.0,0.4756333333333334,5.0,7.1345,4.77,40
