myth_task_order,condition_a,condition_b,median_game_a,median_myth_a,iqr_game_a,iqr_myth_a,delta_a,median_game_b,median_myth_b,iqr_game_b,iqr_myth_b,delta_b,delta_diff
game_myth,no_noise,noise,55.0,55.0,0.0,0.0,0.0,36.0,40.1,6.5,5.0,4.100000000000001,-4.100000000000001
game_myth,no_noise,noise_informed,55.0,55.0,0.0,0.0,0.0,36.0,40.5,5.0,4.75,4.5,-4.5
game_myth,noise,noise_informed,36.0,40.1,6.5,5.0,4.100000000000001,36.0,40.5,5.0,4.75,4.5,-0.3999999999999986
myth_game,no_noise,noise,55.0,55.0,0.0,0.0,0.0,36.0,37.0,6.5,6.375,1.0,-1.0
myth_game,no_noise,noise_informed,55.0,55.0,0.0,0.0,0.0,36.0,41.5,5.0,5.875,5.5,-5.5
myth_game,noise,noise_informed,36.0,37.0,6.5,6.375,1.0,36.0,41.5,5.0,5.875,5.5,-4.5
