replicate_id,defector_ids,standard_send_ratio,standard_return_ratio,defector_target_spent,standard_target_spent,defector_target_any,standard_target_any,target_contrast_spent,target_contrast_any,myth_coop_density,myth_threat_density,myth_half_rule,myth_punishment_density
70,"Agent_2,Agent_3",0.9,0.48954999999999993,1.5555555555555556,0.0,0.7777777777777778,0.0,1.5555555555555556,0.7777777777777778,2.7356927909353153,0.4316239360940835,0.05,0.22889775299777113
71,"Agent_5,Agent_6",0.9666666666666667,0.4616140350877193,1.8,0.1,0.9,0.05,1.7,0.85,2.3953402852513053,0.49257181307801345,0.08333333333333333,0.3772722112523412
72,"Agent_2,Agent_7",0.9,0.46104761904761904,1.25,0.09090909090909091,0.625,0.045454545454545456,1.1590909090909092,0.5795454545454546,2.6223087879879268,0.37023602942826916,0.08333333333333333,0.2722703523576638
73,"Agent_1,Agent_5",0.9,0.49273684210526314,1.75,0.09090909090909091,0.875,0.045454545454545456,1.6590909090909092,0.8295454545454546,2.9325727223923983,0.3353912859083188,0.06666666666666667,0.1547452436501661
74,"Agent_2,Agent_3",0.9,0.47494736842105256,1.7777777777777777,0.09523809523809523,0.8888888888888888,0.047619047619047616,1.6825396825396823,0.8412698412698412,2.349492872370427,0.37368973348701934,0.05,0.15576266336679956
75,"Agent_5,Agent_8",0.9333333333333333,0.4670000000000001,1.75,0.09090909090909091,0.875,0.045454545454545456,1.6590909090909092,0.8295454545454546,2.7622255029436413,0.5071087907047278,0.11666666666666667,0.3044324685574891
76,"Agent_4,Agent_6",0.9333333333333333,0.46974603174603174,1.3333333333333333,0.0,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666,2.2782386270341983,0.41758688744642564,0.05,0.14790901379699767
77,"Agent_3,Agent_5",0.8666666666666667,0.5051929824561402,1.75,0.0,0.875,0.0,1.75,0.875,2.1809718898293466,0.40938736541739473,0.03333333333333333,0.24631343302623232
78,"Agent_1,Agent_4",1.0,0.4944761904761905,1.5555555555555556,0.0,0.7777777777777778,0.0,1.5555555555555556,0.7777777777777778,2.314669574405277,0.42466232840738993,0.03333333333333333,0.1629278555334191
79,"Agent_3,Agent_4",1.0,0.5095454545454545,1.75,0.0,0.875,0.0,1.75,0.875,2.273164356655913,0.34426378468589164,0.03333333333333333,0.19729981793483015
