model,task_order,noise_condition,round,ttr_mean,ttr_std,ttr_count,entropy_bits_mean,entropy_bits_std,entropy_bits_count,mean_sentence_length_mean,mean_sentence_length_std,mean_sentence_length_count,n_tokens_mean,n_tokens_std,n_tokens_count
anthropic/claude-sonnet-4.5,game_myth,no_noise,1,0.6628611379694361,0.0367899264905126,40,6.687076842200153,0.1440304411857314,40,14.518203926384071,2.028510073721059,40,203.8,5.598534606804682,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,2,0.6874185912720259,0.0329791684076155,40,6.7825434175532475,0.1292538056671656,40,13.912250450787601,1.6157859005383919,40,206.05,6.27551203345603,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,3,0.6804974579550371,0.039808155825944457,40,6.797065131415546,0.14543624028196864,40,14.085029079430203,2.264290216737319,40,206.95,7.612237111792671,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,4,0.696188947712477,0.034719352666175964,40,6.8650401931754725,0.14615236521155373,40,13.552485859406332,2.3083729571328417,40,208.575,7.496623171425855,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,5,0.6982850284968363,0.03387965246894188,40,6.898026818499519,0.138616651268315,40,13.188265385500292,1.9712991059373832,40,210.75,9.13081567395787,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,6,0.7056503152502521,0.04095402243691563,40,6.92407726787966,0.16408055756052142,40,12.980677899671708,2.289192131867012,40,210.95,10.165174333515832,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,7,0.7067004869975005,0.04653505631587798,40,6.934900013554102,0.17701707533908262,40,12.337277761850181,2.1893630091334337,40,211.225,8.438275130587252,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,8,0.7028426936580583,0.047893154444940605,40,6.931167129114963,0.17129306797598884,40,12.09426806728236,2.3293521262633448,40,211.85,7.8202564060528195,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,9,0.7080209822027393,0.04840765731616611,40,6.966719148770468,0.17193305817485835,40,11.817652477604145,2.756342456497074,40,213.375,11.528532052349567,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,10,0.7056084422825022,0.05330013582043499,40,6.950394153544202,0.1761847187940778,40,11.7424686943594,2.608038732628645,40,212.625,9.472463465359178,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,11,0.6997923210926988,0.046029147657096516,40,6.929816542130517,0.16596569245918547,40,12.106310980297406,3.015640915051475,40,212.1,9.77122935340907,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,12,0.7003060014221276,0.054476025201655266,40,6.948488688714299,0.18107759085277955,40,11.98766929882472,3.1163860014892846,40,212.725,9.21811900274226,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,13,0.682626282582149,0.05797584801265285,40,6.893751953340437,0.19844831536538862,40,11.777372357786655,3.2097471830014204,40,214.25,9.54543789542337,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,14,0.6755363467040454,0.05928030932564686,40,6.888261673627997,0.20759275190283913,40,11.90890779972176,3.458752269577732,40,214.075,12.005100411801477,40
anthropic/claude-sonnet-4.5,game_myth,no_noise,15,0.6726203766310495,0.0556787738501553,40,6.852443270749495,0.2212931404891877,40,11.914751021765248,3.745979249843338,40,212.275,11.758221346392865,40
anthropic/claude-sonnet-4.5,game_myth,noise,1,0.6528599595263931,0.02901169790341709,30,6.622025030803441,0.11357786902002494,30,15.968750897795015,2.150166308676471,30,199.33333333333334,5.201679657992009,30
anthropic/claude-sonnet-4.5,game_myth,noise,2,0.6677846995208905,0.023673300167936853,30,6.700890491569101,0.11438460623476258,30,16.04522916897917,2.644956048673607,30,202.7,6.012343624749751,30
anthropic/claude-sonnet-4.5,game_myth,noise,3,0.6709892840516382,0.03231106932527809,30,6.772458777276588,0.11638924685231858,30,13.952971073044603,1.7226622500387772,30,206.53333333333333,6.6681607521183786,30
anthropic/claude-sonnet-4.5,game_myth,noise,4,0.6790936491950077,0.04332947108465783,30,6.811573551094692,0.14260802516913254,30,14.114649196119785,2.4198178885121564,30,207.0,6.591530616030617,30
