model,task_order,noise_condition,metric,slope,intercept,n
openai/gpt-5-nano,game_myth,noise,entropy_bits,0.021176653625211275,6.414306319694816,600
openai/gpt-5-nano,game_myth,noise,mean_sentence_length,0.20480353540959328,18.163874844291527,600
openai/gpt-5-nano,game_myth,noise,n_tokens,0.25747474747471566,199.24222222222244,600
openai/gpt-5-nano,game_myth,noise_informed,ttr,0.004439967356298258,0.6344847517599059,600
openai/gpt-5-nano,game_myth,noise_informed,entropy_bits,0.018758185682460862,6.422433073623263,600
openai/gpt-5-nano,game_myth,noise_informed,mean_sentence_length,0.27386609798730815,17.955609134692484,600
openai/gpt-5-nano,game_myth,noise_informed,n_tokens,0.17363636363633195,199.57666666666685,600
openai/gpt-5-nano,myth_game,no_noise,ttr,0.00025604574170145844,0.6746769664739743,1440
openai/gpt-5-nano,myth_game,no_noise,entropy_bits,0.006069780308418963,6.576256854673611,1440
openai/gpt-5-nano,myth_game,no_noise,mean_sentence_length,-0.021045226371677262,20.335340459254187,1440
openai/gpt-5-nano,myth_game,no_noise,n_tokens,0.05111607142856275,201.93343253968303,1440
openai/gpt-5-nano,myth_game,noise,ttr,0.004268915358213236,0.6325323021056123,600
openai/gpt-5-nano,myth_game,noise,entropy_bits,0.018025774418757762,6.4139770989928095,600
openai/gpt-5-nano,myth_game,noise,mean_sentence_length,0.10985468571832045,18.528908452658463,600
openai/gpt-5-nano,myth_game,noise,n_tokens,-0.07131313131316276,200.9322222222224,600
openai/gpt-5-nano,myth_game,noise_informed,ttr,0.0037208568341694907,0.6330275760651332,600
openai/gpt-5-nano,myth_game,noise_informed,entropy_bits,0.01043936743338623,6.444149469559683,600
openai/gpt-5-nano,myth_game,noise_informed,mean_sentence_length,0.16870203772097422,18.546640052848407,600
openai/gpt-5-nano,myth_game,noise_informed,n_tokens,-0.04343434343438606,200.79888888888917,600
