complete,condition,condition_label,expected_n,iqr_final_total,mean_abs_returned_noise,mean_abs_sent_noise,mean_avg_returned,mean_avg_returned_decision,mean_avg_sent,mean_avg_sent_decision,mean_decision_return_ratio,mean_final_total,mean_return_ratio,mean_sent_actual_decision_ratio,median_final_total,model,n,std_final_total,task_order,task_order_label
True,default,No noise,15,26.0,0.0,0.0,6.53,6.53,3.62,3.62,0.5926743305004175,122.4,0.5926743305004175,1.0,110.0,Claude Sonnet 4.5,15,14.105723255878395,game,Game only
True,default,No noise,15,13.0,0.04666666666666667,0.0,6.8566666666666665,6.903333333333333,3.4066666666666667,3.4066666666666667,0.6774185080802728,118.13333333333334,0.67284334468158,1.0,114.0,Claude Sonnet 4.5,15,10.21110506589109,game_myth,Game -> myth
True,default,No noise,15,18.0,0.0,0.0,6.618666666666667,6.618666666666667,3.526666666666667,3.526666666666667,0.6239173862858074,120.53333333333333,0.6239173862858074,1.0,124.0,Claude Sonnet 4.5,15,11.096116866895802,myth_game,Myth -> game
True,neutral_framing_default,Neutral framing,3,0.0,0.0,0.0,5.341666666666667,5.341666666666667,3.1777777777777776,3.1777777777777776,0.5611325240711206,113.55555555555556,0.5611325240711206,1.0,110.0,Claude Sonnet 4.5,18,8.445132410916273,game,Game only
True,neutral_framing_default,Neutral framing,3,0.0,0.0,0.0,4.895833333333333,4.895833333333333,3.013888888888889,3.013888888888889,0.541025641025641,110.27777777777777,0.541025641025641,1.0,110.0,Claude Sonnet 4.5,18,1.1785113019775793,game_myth,Game -> myth
True,neutral_framing_default,Neutral framing,3,0.0,0.0,0.0,4.764705882352941,4.764705882352941,3.0941176470588236,3.0941176470588236,0.5109974424552429,111.88235294117646,0.5109974424552429,1.0,110.0,Claude Sonnet 4.5,17,7.761140001162655,myth_game,Myth -> game
True,noisy_positive_5,Positive k=5,15,2.1500000000000057,1.0632666666666666,0.3300666666666667,13.7204,12.714733333333333,4.8504000000000005,4.520333333333333,0.9385016561248516,147.00799999999998,0.9432778876899061,1.0741336754753124,147.62,Claude Sonnet 4.5,15,3.0298401655155707,game,Game only
True,noisy_positive_5,Positive k=5,15,0.6999999999999886,0.8983333333333333,0.22906666666666667,14.248533333333333,13.3502,4.9610666666666665,4.732,0.9408269568994978,149.22133333333335,0.957556451731639,1.0486488953195707,150.0,Claude Sonnet 4.5,15,1.5627716525760327,game_myth,Game -> myth
True,noisy_positive_5,Positive k=5,15,2.7099999999999795,0.8142666666666667,0.223,14.000466666666666,13.1862,4.93,4.707,0.9338409712829774,148.6,0.9465841090092668,1.0474640721784412,150.0,Claude Sonnet 4.5,15,2.1143050192168817,myth_game,Myth -> game
True,noisy_positive_5_informed,Positive k=5 informed,15,2.680000000000007,1.4362666666666666,0.44233333333333336,13.794733333333333,12.358466666666667,4.920333333333334,4.478,0.9200728846944474,148.40666666666667,0.9344656342310644,1.102431764493303,148.1,Claude Sonnet 4.5,15,1.3470107999708454,game,Game only
True,noisy_positive_5_informed,Positive k=5 informed,15,0.44999999999998863,1.0029333333333332,0.2773333333333333,14.147466666666666,13.144533333333333,4.979,4.701666666666667,0.9323168303047867,149.57999999999998,0.9470969836335488,1.059363126080581,150.0,Claude Sonnet 4.5,15,0.7496665925596533,game_myth,Game -> myth
True,noisy_positive_5_informed,Positive k=5 informed,15,2.3100000000000023,1.0842,0.2650666666666667,13.836333333333334,12.752133333333333,4.935066666666667,4.67,0.9103106542756828,148.70133333333334,0.9347145776821539,1.0569480880845894,149.2,Claude Sonnet 4.5,15,1.3853409413604763,myth_game,Myth -> game
True,noisy_negative_5,Negative k=5,15,11.840000000000003,0.6687333333333334,1.0635333333333332,0.46706666666666663,1.1358,0.42646666666666666,1.49,0.21329114571911217,58.529333333333334,0.22355113757365092,0.2456760656536378,53.74,Claude Sonnet 4.5,15,8.558377238260821,game,Game only
True,noisy_negative_5,Negative k=5,15,9.510000000000005,0.9445333333333333,1.5724,0.7172666666666666,1.6618,0.5559333333333333,2.1283333333333334,0.23943749504300166,61.11866666666668,0.3607964964764975,0.2460578150529211,58.58,Claude Sonnet 4.5,15,7.605206737742869,game_myth,Game -> myth
True,noisy_negative_5,Negative k=5,15,7.489999999999995,0.9762666666666667,1.6078666666666666,0.9034666666666666,1.8797333333333333,0.6744666666666667,2.2823333333333333,0.2713208484316939,63.489333333333335,0.40389439236242475,0.2867067207937797,62.56,Claude Sonnet 4.5,15,6.662843093998093,myth_game,Myth -> game
True,noisy_negative_5_informed,Negative k=5 informed,15,8.010000000000005,0.7307333333333333,1.4455333333333333,0.577,1.3077333333333334,0.5378000000000001,1.9833333333333334,0.19524728823899198,60.75599999999999,0.22698197858895428,0.2538242439231962,58.78,Claude Sonnet 4.5,15,7.983451455533324,game,Game only
True,noisy_negative_5_informed,Negative k=5 informed,15,5.739999999999988,1.0088000000000001,1.8828666666666667,0.46900000000000003,1.4778,0.6554666666666666,2.5383333333333336,0.19634237292457843,63.10933333333334,0.23675756703895923,0.2585485627479362,62.7,Claude Sonnet 4.5,15,4.797290108066468,game_myth,Game -> myth
True,noisy_negative_5_informed,Negative k=5 informed,15,9.480000000000011,0.7834,1.9140666666666668,0.6841333333333334,1.4675333333333334,0.6892666666666667,2.6033333333333335,0.18509559887684449,63.78533333333334,0.34260437760262624,0.25899500661312763,62.94,Claude Sonnet 4.5,15,6.512219137532008,myth_game,Myth -> game
True,default,No noise,15,10.0,0.0,0.0,7.58,7.58,4.42,4.42,0.5733316962749229,138.4,0.5733316962749229,1.0,142.0,GPT-5-Nano,15,9.108865383319076,game,Game only
True,default,No noise,15,5.0,0.0,0.0,6.773333333333333,6.773333333333333,4.6066666666666665,4.6066666666666665,0.49093626204044477,142.13333333333333,0.49093626204044477,1.0,144.0,GPT-5-Nano,15,5.475486497193869,game_myth,Game -> myth
True,default,No noise,15,2.0,0.0,0.0,7.0440000000000005,7.0440000000000005,4.726666666666667,4.726666666666667,0.4966919161195845,144.53333333333333,0.4966919161195845,1.0,144.0,GPT-5-Nano,15,2.1995670569671746,myth_game,Myth -> game
True,neutral_framing_default,Neutral framing,3,38.5,0.0,0.0,4.466666666666667,4.466666666666667,3.1166666666666667,3.1166666666666667,0.47229576125729555,112.33333333333333,0.47229576125729555,1.0,103.0,GPT-5-Nano,18,26.178122882419565,game,Game only
True,neutral_framing_default,Neutral framing,3,19.5,0.0,0.0,6.533333333333333,6.533333333333333,4.2444444444444445,4.2444444444444445,0.5136595725560741,134.88888888888889,0.5136595725560741,1.0,140.0,GPT-5-Nano,18,12.727408538448632,game_myth,Game -> myth
True,neutral_framing_default,Neutral framing,3,27.0,0.0,0.0,5.602777777777778,5.602777777777778,3.4166666666666665,3.4166666666666665,0.542712844787827,118.33333333333333,0.542712844787827,1.0,124.0,GPT-5-Nano,18,22.135943621178654,myth_game,Myth -> game
True,noisy_positive_5,Positive k=5,15,6.3700000000000045,1.8590666666666666,0.40153333333333335,10.365533333333333,8.5065,4.745533333333333,4.344,0.6640694220017065,144.91066666666666,0.7304699982225811,1.1163539957797104,148.82,GPT-5-Nano,15,8.65307168142097,game,Game only
True,noisy_positive_5,Positive k=5,15,2.930000000000007,2.6689333333333334,0.20666666666666667,9.737133333333333,7.0682,4.9106,4.7039333333333335,0.5032523385845635,148.212,0.661644986568711,1.0447918339066338,148.7,GPT-5-Nano,15,2.2468365062269897,game_myth,Game -> myth
True,noisy_positive_5,Positive k=5,15,0.7599999999999909,2.4882666666666666,0.2168,9.601733333333334,7.113466666666667,4.9534666666666665,4.736666666666666,0.5029151625123437,149.06933333333336,0.6464721376309531,1.0470597646109674,150.0,GPT-5-Nano,15,1.9899442442536137,myth_game,Myth -> game
True,noisy_positive_5_informed,Positive k=5 informed,15,6.560000000000002,1.7791333333333332,0.6576,10.5334,8.754266666666666,4.736466666666667,4.078866666666666,0.7391921963348687,144.72933333333333,0.7451272041331977,1.1781993977039056,145.14,GPT-5-Nano,15,4.990298397414539,game,Game only
True,noisy_positive_5_informed,Positive k=5 informed,15,0.8700000000000045,2.3712666666666666,0.2326,9.525133333333333,7.153866666666667,4.959266666666667,4.726666666666667,0.5062854705568738,149.18533333333332,0.640496969238054,1.051270721398381,150.0,GPT-5-Nano,15,1.4258925358558892,game_myth,Game -> myth
True,noisy_positive_5_informed,Positive k=5 informed,15,1.8400000000000034,2.5511333333333335,0.2122,9.437666666666667,6.886533333333333,4.9222,4.71,0.4883197705292944,148.444,0.6391820900079513,1.0462172859814958,150.0,GPT-5-Nano,15,3.536190040142079,myth_game,Myth -> game
True,noisy_negative_5,Negative k=5,15,22.150000000000006,0.9793333333333333,1.7716666666666667,1.306,2.2853333333333334,1.2866666666666666,3.0583333333333336,0.2291352595805722,75.73333333333333,0.3076304889721211,0.38956426215391154,76.1,GPT-5-Nano,15,17.147625685985414,game,Game only
