model,noise_label,informed,task_order,n_runs,lag1_AB_mean,lag1_AB_ci_lo,lag1_AB_ci_hi,lag1_AB_n,lag1_BA_mean,lag1_BA_ci_lo,lag1_BA_ci_hi,lag1_BA_n,same_round_AB_mean,same_round_AB_ci_lo,same_round_AB_ci_hi,same_round_AB_n,lag1_max_mean,lag1_max_ci_lo,lag1_max_ci_hi,lag1_max_n,share_lag_gt_0_5
claude-sonnet-4.5,baseline_v4_mem3_direct,False,game_myth,15,0.23707260229090701,-0.02853902681114393,0.49757092213384785,15,0.26508970244398306,0.05072745339367695,0.45400362950948764,15,0.36267588100549386,0.16884751142490895,0.5351786108005558,15,0.5575143314126516,0.41192721717240327,0.6966329126250985,15,0.6666666666666666
claude-sonnet-4.5,baseline_v4_mem3_direct,False,myth_game,15,0.17572785668621002,-0.03131783070897964,0.38568317032704513,15,0.36282319457727863,0.20711061918285734,0.5272575728974419,15,0.369130636146236,0.19116423641213087,0.5542187545958454,15,0.45909683080330704,0.31286393637109666,0.6111726918038319,15,0.4666666666666667
claude-sonnet-4.5,negative_5,False,game_myth,15,0.3035085582297984,0.08710204102031675,0.4923800275666218,15,0.18700487189550022,0.00952662844176185,0.37716932869848036,15,0.17938807659654002,-0.0010010557212221437,0.3666723548223059,15,0.4553114489154442,0.32192349756028327,0.5840465448501951,15,0.4
claude-sonnet-4.5,negative_5,False,myth_game,15,0.1579704953544912,-0.016168121975733207,0.32287994732006603,15,0.13057422802567425,-0.07451521165830641,0.3436799391733776,15,0.1289420786868757,-0.043976280260307296,0.2996007758840415,15,0.4164648797618636,0.28843851529004616,0.5426756863252693,15,0.4
claude-sonnet-4.5,negative_5,True,game_myth,15,0.2951458408710605,0.13688348661642108,0.4547290505817992,15,0.11554391193892646,-0.04487503839397097,0.24579457733634047,15,0.10005782275437752,-0.12295033270735083,0.32834570441150035,15,0.36327006821760216,0.24220900983958651,0.4850948277549974,15,0.26666666666666666
claude-sonnet-4.5,negative_5,True,myth_game,15,0.21364745363321352,0.029893748811878368,0.3900461896253707,15,0.14038846127499943,-0.029893901718937025,0.31053068958600155,15,-0.039577806784047556,-0.2086738502550575,0.12390817548839297,15,0.32540164582199754,0.1553192848655292,0.486680223063821,15,0.4
claude-sonnet-4.5,positive,False,game_myth,15,0.2676637464541916,0.1460229576083752,0.3932062768386998,15,0.2941977275905084,0.013875053989922354,0.5366348953918669,15,0.42266755691505614,0.28076240347271136,0.5560642853868444,15,0.5262531918978183,0.3854458943628579,0.6684108445232017,15,0.6
claude-sonnet-4.5,positive,False,myth_game,15,0.18455398463039868,0.0037821310567756113,0.37936209237336155,15,0.1590983914046073,-0.06789126457135954,0.40511498345622643,15,0.1427864845561801,-0.033844817037924906,0.30306183574412804,15,0.4340750365746561,0.2665366077238305,0.5941017216018828,15,0.4
claude-sonnet-4.5,positive,True,game_myth,15,0.3144016050877483,0.1357339145896427,0.4954426916748117,15,0.3485812130940825,0.13197693390040702,0.5520500222366685,15,0.33896635140517806,0.08714591011481548,0.5466492687526727,15,0.4844554186581212,0.30221104938910487,0.6554275112949612,15,0.4666666666666667
claude-sonnet-4.5,positive,True,myth_game,15,0.30411553126086444,0.07691763676369205,0.5028802026684946,15,0.19181823598172473,-0.05447961229552547,0.4155893957321652,15,0.5529370213472864,0.3891344338680052,0.7077058519620512,15,0.43670905418308525,0.2590705416298226,0.5967584294231784,15,0.4666666666666667
gpt-5-nano,baseline_v4_mem3_direct,False,game_myth,15,0.2607785918778428,0.051159690359094005,0.4376758722506224,15,0.19210752795289032,0.028060005842043382,0.34028788518648273,15,0.24714719789392475,0.04164894304856933,0.43200940964361784,15,0.4205041621906192,0.31305699249622393,0.5222580606078204,15,0.4666666666666667
gpt-5-nano,baseline_v4_mem3_direct,False,myth_game,15,0.152270556492301,-0.059530753122531734,0.36485060721066126,15,0.19276840087883074,0.026574291815177908,0.35048283939150265,15,0.126547649925695,-0.06594744575480707,0.3111358075423028,15,0.3597870693398378,0.2002975996099313,0.4998397396121631,15,0.3333333333333333
