myth_task_order,condition_a,condition_b,median_game_a,median_myth_a,iqr_game_a,iqr_myth_a,delta_a,median_game_b,median_myth_b,iqr_game_b,iqr_myth_b,delta_b,delta_diff
game_myth,no_noise,noise,55.0,55.0,0.0,0.0,0.0,35.25,40.75,5.25,4.3125,5.5,-5.5
game_myth,no_noise,noise_informed,55.0,55.0,0.0,0.0,0.0,36.0,39.5,8.0,6.375,3.5,-3.5
game_myth,noise,noise_informed,35.25,40.75,5.25,4.3125,5.5,36.0,39.5,8.0,6.375,3.5,2.0
myth_game,no_noise,noise,55.0,55.0,0.0,0.0,0.0,35.25,40.5,5.25,5.225000000000001,5.25,-5.25
myth_game,no_noise,noise_informed,55.0,55.0,0.0,0.0,0.0,36.0,40.25,8.0,5.6875,4.25,-4.25
myth_game,noise,noise_informed,35.25,40.5,5.25,5.225000000000001,5.25,36.0,40.25,8.0,5.6875,4.25,1.0
