model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_2,228,158,0.6929824561403509,6.935873844084702,11.35,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_2,214,141,0.6588785046728972,6.75910124865856,10.65,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_1,218,138,0.6330275229357798,6.671172713313897,9.863636363636363,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_1,214,156,0.7289719626168224,7.052729001116178,10.65,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_2,203,141,0.6945812807881774,6.82714757257551,10.1,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_2,223,144,0.6457399103139013,6.794818594945194,10.571428571428571,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_1,226,141,0.6238938053097345,6.8023624272971075,9.375,24
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_1,206,129,0.6262135922330098,6.589270130180398,14.714285714285714,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_2,217,121,0.5576036866359447,6.435446166656046,12.055555555555555,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_2,207,121,0.5845410628019324,6.419427032123458,15.846153846153847,13
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_1,206,136,0.6601941747572816,6.618068306612237,12.058823529411764,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_1,213,118,0.5539906103286385,6.4273292967020845,14.133333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_2,224,149,0.6651785714285714,6.807326465824199,13.9375,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_2,217,130,0.5990783410138248,6.637631894678754,14.4,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_1,215,138,0.641860465116279,6.757118334011853,13.375,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_1,222,133,0.5990990990990991,6.706577412432983,13.0,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_2,218,138,0.6330275229357798,6.769853235735053,13.5625,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_2,214,124,0.5794392523364486,6.513250997431876,9.26086956521739,23
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_1,218,129,0.591743119266055,6.470829882488756,12.764705882352942,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_1,224,144,0.6428571428571429,6.775408070587483,13.117647058823529,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_2,211,137,0.6492890995260664,6.780261454430598,11.666666666666666,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_2,214,131,0.6121495327102804,6.617253465379477,9.681818181818182,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_1,228,159,0.6973684210526315,6.950188434342781,15.133333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_1,230,157,0.6826086956521739,6.8267934904989405,14.3125,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_2,226,142,0.6283185840707964,6.712432873668565,9.375,24
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_2,221,139,0.6289592760180995,6.650971287603472,9.166666666666666,24
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_1,223,142,0.6367713004484304,6.726746034713955,14.8,15
