model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_2,218,137,0.6284403669724771,6.772739430611614,12.055555555555555,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_4,212,138,0.6509433962264151,6.7049580892772696,10.047619047619047,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_8,207,136,0.6570048309178744,6.775520197431345,18.727272727272727,11
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_4,222,145,0.6531531531531531,6.808379621743681,10.523809523809524,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_2,214,132,0.616822429906542,6.740680788332129,12.529411764705882,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_1,212,139,0.6556603773584906,6.792196290601826,10.047619047619047,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_8,214,140,0.6542056074766355,6.753792161402249,13.3125,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_3,217,133,0.6129032258064516,6.706014021058953,12.0,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_6,226,134,0.5929203539823009,6.707730471775371,13.235294117647058,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_5,212,133,0.6273584905660378,6.767906098560033,11.105263157894736,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_7,217,131,0.6036866359447005,6.728292405154013,12.0,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_7,231,130,0.5627705627705628,6.5725707112172636,11.5,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_3,220,140,0.6363636363636364,6.8282840010346915,14.6,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_6,236,137,0.5805084745762712,6.711034891684785,14.6875,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_4,217,139,0.6405529953917051,6.707053479534448,9.818181818181818,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_8,217,132,0.6082949308755761,6.636084560200664,9.818181818181818,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_5,217,131,0.6036866359447005,6.740186359582153,12.705882352941176,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_2,217,132,0.6082949308755761,6.761892809165276,10.285714285714286,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_1,220,137,0.6227272727272727,6.726727352915248,12.882352941176471,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_5,214,127,0.5934579439252337,6.716245741290854,9.681818181818182,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_6,222,119,0.536036036036036,6.434763531091216,14.733333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_7,229,141,0.6157205240174672,6.814412400428384,11.4,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_8,216,124,0.5740740740740741,6.616176366189301,11.31578947368421,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_4,215,138,0.641860465116279,6.678833878851498,10.7,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_3,212,131,0.6179245283018868,6.745280006663195,9.590909090909092,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_1,218,129,0.591743119266055,6.676659081586353,12.764705882352942,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_2,222,134,0.6036036036036037,6.727024563363901,15.785714285714286,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_2,205,123,0.6,6.673733438506778,10.2,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_7,239,138,0.5774058577405857,6.6731713696948844,12.526315789473685,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_6,226,135,0.5973451327433629,6.746642651415394,17.307692307692307,13
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_1,222,141,0.6351351351351351,6.85724303533365,9.208333333333334,24
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_3,217,124,0.5714285714285714,6.6087767214924575,12.0,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_5,213,138,0.647887323943662,6.81906258512258,10.095238095238095,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_8,222,132,0.5945945945945946,6.766514614387361,9.208333333333334,24
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_4,221,137,0.6199095022624435,6.781858272577823,10.476190476190476,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_5,201,124,0.6169154228855721,6.510719761486121,10.578947368421053,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_2,204,121,0.5931372549019608,6.436383395149673,12.75,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_8,212,120,0.5660377358490566,6.347585204107638,12.470588235294118,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_6,204,116,0.5686274509803921,6.396169797807524,11.333333333333334,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_4,199,115,0.5778894472361809,6.2195147135024715,14.214285714285714,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_7,204,122,0.5980392156862745,6.430771832636617,14.571428571428571,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_3,203,135,0.6650246305418719,6.6908196314882815,10.68421052631579,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,1,Agent_1,202,129,0.6386138613861386,6.540198352484423,14.428571428571429,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_2,202,142,0.7029702970297029,6.866231189104439,12.5625,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_5,212,142,0.6698113207547169,6.758088021803728,16.23076923076923,13
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_1,204,128,0.6274509803921569,6.5819389266907,13.533333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_4,205,121,0.5902439024390244,6.422908990267298,14.571428571428571,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_6,204,129,0.6323529411764706,6.700324404748256,10.68421052631579,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_3,205,134,0.6536585365853659,6.739231712920421,12.75,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_7,200,134,0.67,6.735323205261163,14.214285714285714,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,2,Agent_8,201,125,0.6218905472636815,6.5666312163204985,15.384615384615385,13
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_1,207,143,0.6908212560386473,6.8376828978820585,13.733333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_2,207,129,0.6231884057971014,6.637711506643193,10.842105263157896,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_7,197,133,0.6751269035532995,6.747956276824939,11.529411764705882,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_6,214,109,0.5093457943925234,6.349906709334748,10.65,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_4,198,116,0.5858585858585859,6.484500261651607,13.133333333333333,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_5,203,140,0.6896551724137931,6.8782043606375805,14.428571428571429,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_3,205,133,0.6487804878048781,6.775518495743527,10.736842105263158,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,3,Agent_8,201,132,0.6567164179104478,6.74923959251274,12.5,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_5,220,138,0.6272727272727273,6.765390511912324,10.428571428571429,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_7,208,124,0.5961538461538461,6.652312990129002,12.9375,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_8,208,136,0.6538461538461539,6.77750097098144,13.8,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_1,210,134,0.638095238095238,6.739192751879411,13.933333333333334,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_2,209,130,0.6220095693779905,6.6712290444746305,13.0,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_3,211,125,0.5924170616113744,6.63061031072039,13.125,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_6,216,125,0.5787037037037037,6.527615859163611,10.75,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,4,Agent_4,211,128,0.6066350710900474,6.684054836372164,14.0,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_4,209,126,0.6028708133971292,6.598638513259276,12.235294117647058,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_3,214,140,0.6542056074766355,6.843667237011136,11.210526315789474,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_8,202,136,0.6732673267326733,6.856659982760512,13.4,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_5,211,138,0.6540284360189573,6.834687726730902,14.0,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_7,209,132,0.631578947368421,6.711698111721005,13.866666666666667,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_2,208,144,0.6923076923076923,6.857592945202658,13.8,15
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_6,211,128,0.6066350710900474,6.634783697076962,15.0,14
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,5,Agent_1,204,136,0.6666666666666666,6.82513252175345,12.6875,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_2,207,130,0.6280193236714976,6.7073558156178725,12.875,16
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_4,213,129,0.6056338028169014,6.711458432359463,12.470588235294118,17
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_1,197,130,0.6598984771573604,6.72025186332707,10.88888888888889,18
