condition,condition_label,myth_topic,filename,num_rounds,mean_trust_ratio,std_trust_ratio,mean_return_ratio,std_return_ratio,mean_sent,mean_returned,cooperation_stability,final_cumulative_balance,final_agent_1_balance,final_agent_2_balance
game,Game Only,noisy_negative_5_informed,noise_negative_mem3_078_neutral.json,10,0.55,0.18027756377319948,0.36050925925925925,0.4770673753328725,2.75,2.5149999999999997,0.4770673753328725,52.5,64.35,40.65
game,Game Only,noisy_negative_5_informed,noise_negative_mem3_009_neutral.json,10,0.25,0.2202271554554524,0.19755555555555557,0.3394322783780857,1.25,1.1199999999999999,0.3394322783780857,37.5,24.1,50.900000000000006
game,Game Only,noisy_negative_5_informed,noise_negative_mem3_079_neutral.json,10,0.22000000000000003,0.24413111231467405,0.0,0.0,1.1,0.0,0.0,36.0,34.0,38.0
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_082_neutral_anything.json,10,0.22999999999999998,0.21000000000000002,0.07788888888888888,0.22413644984283157,1.15,0.47300000000000003,0.22413644984283157,36.5,31.17,41.83
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_010_neutral_anything.json,10,0.22000000000000003,0.24413111231467405,0.18,0.3729611239794303,1.1,1.17,0.3729611239794303,36.0,23.7,48.3
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_080_neutral_anything.json,10,0.37,0.19,0.27142857142857146,0.3587977531484821,1.85,1.95,0.3587977531484821,43.5,32.0,55.0
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_012_neutral_anything.json,10,0.21000000000000002,0.23853720883753124,0.05333333333333333,0.12600705447623864,1.05,0.28500000000000003,0.12600705447623864,35.5,38.35,32.65
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_088_neutral_anything.json,10,0.23000000000000004,0.2193171219946131,0.046,0.10295414297421719,1.15,0.21399999999999997,0.10295414297421719,36.5,25.64,47.36
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_014_neutral_anything.json,10,0.36,0.2615339366124404,0.188,0.41511230073586375,1.8,0.8099999999999999,0.41511230073586375,43.0,42.9,43.1
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_086_neutral_anything.json,10,0.275,0.22051077071199945,0.2508484848484849,0.4239942520877959,1.375,1.488,0.4239942520877959,38.75,31.73,45.77
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_084_neutral_anything.json,10,0.398,0.27501999927278015,0.3306031746031747,0.5286317368712489,1.9899999999999998,2.894,0.5286317368712489,44.9,31.64,58.16
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_011_neutral_anything.json,10,0.302,0.2771930735065362,0.1355873015873016,0.27383076798193295,1.51,1.221,0.27383076798193295,40.1,34.510000000000005,45.69
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_083_neutral_anything.json,10,0.32999999999999996,0.27946377224964236,0.2041269841269841,0.3759782403121337,1.65,1.7,0.3759782403121337,41.5,27.5,55.5
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_013_neutral_anything.json,10,0.13999999999999999,0.21999999999999997,0.01011111111111111,0.03033333333333333,0.7,0.091,0.03033333333333333,32.0,26.91,37.09
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_089_neutral_anything.json,10,0.31,0.20223748416156687,0.22000000000000003,0.4160528812542944,1.55,1.0050000000000001,0.4160528812542944,40.5,27.55,53.45
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_081_neutral_anything.json,10,0.32,0.24,0.2777777777777778,0.5146016078626405,1.6,2.0,0.5146016078626405,41.0,45.0,37.0
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_087_neutral_anything.json,10,0.31999999999999995,0.24,0.13999999999999999,0.29393876913398137,1.6,0.5700000000000001,0.29393876913398137,41.0,27.3,54.7
game_myth,Game → Myth,noisy_negative_5,noise_negative_mem3_085_neutral_anything.json,10,0.21000000000000002,0.21189620100417092,0.03888888888888889,0.11666666666666667,1.05,0.35,0.11666666666666667,35.5,40.0,31.0
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_094_neutral_anything.json,10,0.27,0.24515301344262522,0.14166666666666666,0.28394541729001366,1.35,0.65,0.28394541729001366,38.5,40.0,37.0
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_010_neutral_anything.json,10,0.31000000000000005,0.2467792535850613,0.06755555555555555,0.11369093908324282,1.55,0.608,0.11369093908324282,40.5,43.42,37.58
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_096_neutral_anything.json,10,0.16999999999999998,0.2609597670139978,0.03333333333333333,0.09999999999999999,0.85,0.3,0.09999999999999999,33.5,25.5,41.5
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_012_neutral_anything.json,10,0.28,0.25612496949731395,0.15533333333333335,0.3343989633157775,1.4,1.082,0.3343989633157775,39.0,32.18,45.82
game_myth,Game → Myth,noisy_negative_5_informed,noise_negative_mem3_012_neutral_anything_2.json,10,0.26,0.1854723699099141,0.058777777777777776,0.14828938175318132,1.3,0.363,0.14828938175318132,38.0,29.630000000000003,46.37
