metric,contrast,primary,n_pairs,estimate,ci_low,ci_high,p_value,cohens_dz
final_balance,(Dossier − private | Myth→Game) − (Dossier − private | Game only),True,10,0.49875000000000186,-1.946394111909979,2.943894111909983,0.6554427499055764,0.14591543096533077
final_balance,Dossier − private | Game only,False,10,-1.8142500000000006,-3.930579174262178,0.30207917426217645,0.08440909899395993,-0.6132487717284411
final_balance,Dossier − private | Myth→Game,False,10,-1.3154999999999988,-2.280150749394247,-0.35084925060575034,0.013036022063518846,-0.9755364938228607
final_balance,Myth→Game − Game only | Private memory,False,10,1.1847499999999997,-0.9323396099582095,3.301839609958209,0.23732329406420888,0.40032273097141846
final_balance,Myth→Game − Game only | Partner dossier,False,10,1.6835000000000016,0.387587916199871,2.979412083800132,0.016520689590396206,0.9293094541567002
mean_trust_ratio,(Dossier − private | Myth→Game) − (Dossier − private | Game only),False,10,0.009974999999999956,-0.03892788223819968,0.05887788223819959,0.655442749905579,0.14591543096532952
mean_trust_ratio,Dossier − private | Game only,False,10,-0.03628499999999997,-0.07861158348524352,0.006041583485243585,0.08440909899396032,-0.6132487717284401
mean_trust_ratio,Dossier − private | Myth→Game,False,10,-0.02631000000000001,-0.045603014987885,-0.007016985012115021,0.013036022063518797,-0.975536493822861
mean_trust_ratio,Myth→Game − Game only | Private memory,False,10,0.023695000000000042,-0.018646792199164174,0.06603679219916425,0.23732329406420835,0.400322730971419
mean_trust_ratio,Myth→Game − Game only | Partner dossier,False,10,0.03367,0.007751758323997382,0.059588241676002615,0.016520689590396275,0.9293094541566992
mean_return_ratio,(Dossier − private | Myth→Game) − (Dossier − private | Game only),False,10,0.027484224211456874,-0.028338686635079928,0.08330713505799367,0.2942392249896173,0.35220358983872946
mean_return_ratio,Dossier − private | Game only,False,10,-0.026045984098317727,-0.0550078592260078,0.0029158910293723486,0.07241741047955291,-0.6433345394884354
mean_return_ratio,Dossier − private | Myth→Game,False,10,0.0014382401131391499,-0.03864401400641795,0.04152049423269625,0.937082232864829,0.02566859125074852
mean_return_ratio,Myth→Game − Game only | Private memory,False,10,-0.03364542221247461,-0.06226328521299444,-0.0050275592119547775,0.026064122652133804,-0.8410301333174321
mean_return_ratio,Myth→Game − Game only | Partner dossier,False,10,-0.006161198001017732,-0.0433598549274366,0.031037458925401138,0.7165746186959434,-0.11848426538376898
