model,noise_condition,game_mean,game_std,game_n,game_myth_mean,game_myth_std,game_myth_n,myth_game_mean,myth_game_std,myth_game_n,p_game_vs_game_myth,p_game_vs_myth_game,p_game_myth_vs_myth_game
claude-sonnet-4.5,No Noise,55.0,0.0,10,56.5,3.7,20,55.5,2.2,20,1.0,1.0,1.0
claude-sonnet-4.5,Noise,35.4,3.9,10,40.0,3.1,10,38.6,3.4,7,0.3778,1.0,1.0
claude-sonnet-4.5,Noise (Informed),38.9,7.5,9,40.1,5.0,10,39.9,4.9,8,1.0,1.0,1.0
gemini-3.1-pro-preview,No Noise,73.0,6.3,10,75.0,0.0,20,75.0,0.0,20,1.0,1.0,1.0
gemini-3.1-pro-preview,Noise,32.6,3.8,10,31.4,2.4,10,30.2,2.2,9,1.0,1.0,1.0
gemini-3.1-pro-preview,Noise (Informed),32.4,2.7,10,30.9,1.7,10,34.3,3.4,3,1.0,1.0,1.0
