meme_family,group,runs_with_both_cells,adoption_exposed_mean,adoption_exposed_sd,adoption_unexposed_mean,adoption_unexposed_sd,exposure_diff_mean,exposure_diff_sd,future_control_diff_mean,future_control_diff_sd,sham_control_diff_mean,sham_control_diff_sd,self_retention_diff_mean,self_retention_diff_sd
proportional_reciprocity,8-agent,20,0.7728180453853432,0.09333932822464597,0.6760797780650722,0.18568172008427622,0.09673826732027102,0.17875082242731843,0.07865721468382983,0.27184250798064113,-0.00252010343414337,0.09275931853457366,-0.0020742231401881164,0.1929952753852982
proportional_reciprocity,2-agent,14,0.5270648267148286,0.1954668932080547,0.5751884086968121,0.2979212158832117,-0.048123581981983535,0.2726905850964725,0.07168905242847899,0.38674829241121655,nan,nan,-0.22972823514613117,0.37084167184374117
proportional_reciprocity,pooled,34,0.6716255435798372,0.1874546423183367,0.6345362730310827,0.23949097571874775,0.03708927054875444,0.2300582647597401,0.07570102463610523,0.3199134068149769,-0.00252010343414337,0.09275931853457366,-0.10641564530957867,0.3043882128987982
sustainable_equilibrium,8-agent,20,0.5492798910388234,0.09028030688689645,0.45011770031977766,0.14384653666570743,0.09916219071904575,0.16384780890883646,0.0876405176995258,0.18740519946422618,0.020409043924932955,0.07677102507448522,0.19078257698030515,0.12761441924039268
sustainable_equilibrium,2-agent,18,0.6563972550083661,0.14892162562052433,0.5884259259259259,0.23939801727537607,0.0679713290824402,0.3047220525632876,0.17711327262691323,0.36495674829599317,nan,nan,0.22714886368112175,0.310190639797213
sustainable_equilibrium,pooled,38,0.6000196950243962,0.1315790260192425,0.5156321229753216,0.20458675213821373,0.0843875720490747,0.23811402250195007,0.12740618655614244,0.2796096139631984,0.020409043924932955,0.07677102507448522,0.20636812842351226,0.22147994165293217
consistency_over_volatility,8-agent,20,0.4418660788498471,0.1394994625901007,0.2390303090025611,0.0779528019149721,0.202835769847286,0.11502873190455984,0.18596650689900948,0.18363523557702893,0.09906722799409332,0.13006641184380746,0.2292538345672005,0.11646003755089773
consistency_over_volatility,2-agent,20,0.4365433177933178,0.3020569639075312,0.24417613669803603,0.15075220345110404,0.19236718109528178,0.27528075484771924,0.1507873840337296,0.28956523528075395,nan,nan,0.18730213294634895,0.31604091217909464
consistency_over_volatility,pooled,40,0.43920469832158243,0.23224406914697973,0.24160322285029856,0.11848609706283039,0.19760147547128387,0.20830862664248861,0.16837694546636955,0.23998954497524932,0.09906722799409332,0.13006641184380746,0.20827798375677473,0.2360492465197167
trust_escalation,8-agent,18,0.6080180214625549,0.11553711941402726,0.6013437144617878,0.18263671186629912,0.006674307000767161,0.20238231156915568,0.04845566807661225,0.20519897977312662,0.01565809632000006,0.07595214482494586,0.0011997093303673318,0.2623571139148855
trust_escalation,2-agent,14,0.7334358743497399,0.23210069644115094,0.6915391156462585,0.39179358327653024,0.04189675870348139,0.3315893830750975,0.04528880365277424,0.27503044574780156,nan,nan,0.04394431326249508,0.3253544963518402
trust_escalation,pooled,32,0.6628883321006983,0.184138838920372,0.6408042024799937,0.29108519988631654,0.022084129620704634,0.26245957221050054,0.047268093917673,0.22945659716061415,0.01565809632000006,0.07595214482494586,0.017413179787381307,0.28291603451808184
