model,noise_condition,game_mean,game_std,game_n,game_myth_mean,game_myth_std,game_myth_n,myth_game_mean,myth_game_std,myth_game_n,p_game_vs_game_myth,p_game_vs_myth_game,p_game_myth_vs_myth_game
gpt-5-nano,No Noise,27.8,5.5,9,31.9,7.7,48,36.5,12.1,48,0.2363,0.0639,1.0
gpt-5-nano,Noise,37.5,13.3,15,42.4,11.2,14,45.2,10.1,13,1.0,1.0,1.0
gpt-5-nano,Noise (Informed),51.2,11.9,15,50.3,9.8,15,53.0,9.6,15,1.0,1.0,1.0
claude-sonnet-4.5,No Noise,55.0,0.0,10,56.5,3.7,20,55.5,2.2,20,1.0,1.0,1.0
claude-sonnet-4.5,Noise,32.6,1.4,15,36.8,1.8,13,37.0,3.0,15,0.0003,0.004,1.0
claude-sonnet-4.5,Noise (Informed),33.6,1.3,15,37.9,2.5,15,37.5,4.2,15,0.0002,0.002,1.0
gemini-3.1-pro-preview,No Noise,73.0,6.3,10,75.0,0.0,20,75.0,0.0,20,1.0,1.0,1.0
gemini-3.1-pro-preview,Noise,30.3,1.1,15,30.1,1.2,14,29.3,1.3,15,1.0,0.9398,1.0
gemini-3.1-pro-preview,Noise (Informed),30.5,0.8,15,29.9,0.6,14,29.4,1.1,15,0.5891,0.066,1.0
