model,task_order,noise_condition,round,ttr_mean,ttr_std,ttr_count,entropy_bits_mean,entropy_bits_std,entropy_bits_count,mean_sentence_length_mean,mean_sentence_length_std,mean_sentence_length_count,n_tokens_mean,n_tokens_std,n_tokens_count
google/gemini-3.1-flash-lite,myth_game,no_noise,1,0.5939273587786731,0.03277114527841859,16,6.310032739182636,0.12625293762051215,16,16.213785953629703,2.245523565566287,16,204.25,6.266312046703921,16
google/gemini-3.1-flash-lite,myth_game,no_noise,2,0.5837864626669443,0.04273828220893373,16,6.211679708871678,0.18305496193375914,16,17.933034673659673,1.528086600749664,16,201.4375,2.657536453183665,16
google/gemini-3.1-flash-lite,myth_game,no_noise,3,0.5780781729425681,0.023466586595677585,16,6.202836940692752,0.11418483429725672,16,18.691938616938618,1.8950235574022871,16,202.1875,3.2294220329134236,16
google/gemini-3.1-flash-lite,myth_game,no_noise,4,0.5853895463538439,0.026952587635923994,16,6.215675455974266,0.11809068713568696,16,19.799368686868686,2.6895011692000925,16,202.0625,3.0652623596249184,16
google/gemini-3.1-flash-lite,myth_game,no_noise,5,0.5907909891961917,0.02670546255374319,16,6.22435809796017,0.15020852588154088,16,20.18625437062937,2.7984592818578498,16,201.625,2.362907813126302,16
google/gemini-3.1-flash-lite,myth_game,no_noise,6,0.5956453348801056,0.028009765941603957,16,6.241038598687981,0.10209830401672704,16,19.82951388888889,2.159155770926023,16,203.0,3.265986323710904,16
google/gemini-3.1-flash-lite,myth_game,no_noise,7,0.6050151603632152,0.02798099641367623,16,6.294020052788463,0.09796100797716903,16,20.768986742424243,2.4528693602906726,16,203.375,3.844910055298216,16
google/gemini-3.1-flash-lite,myth_game,no_noise,8,0.5952315036465188,0.03255847896810202,16,6.259220493003338,0.15630023591315356,16,21.072695707070707,2.0802382148361227,16,203.1875,2.535580144003867,16
google/gemini-3.1-flash-lite,myth_game,no_noise,9,0.5857068285973421,0.034858376113667405,16,6.196704278821238,0.1458992217479214,16,20.633443813131315,2.2464571202168697,16,202.5,2.8518999514943255,16
google/gemini-3.1-flash-lite,myth_game,no_noise,10,0.5953258048648705,0.022365527442309262,16,6.239577266366653,0.1319657302253513,16,20.56584595959596,1.485697515744125,16,202.9375,3.855191305240248,16
