population,condition,condition_label,final_balance_count,final_balance_mean,final_balance_std,joint_balance_count,joint_balance_mean,joint_balance_std,mean_trust_ratio_count,mean_trust_ratio_mean,mean_trust_ratio_std,mean_return_ratio_count,mean_return_ratio_mean,mean_return_ratio_std,mean_sent_count,mean_sent_mean,mean_sent_std,mean_returned_count,mean_returned_mean,mean_returned_std,mean_later_communicated_sent_count,mean_later_communicated_sent_mean,mean_later_communicated_sent_std
2-agent repeated dyad,game,Game only,10,64.85499999999999,2.6675467297791724,10,129.70999999999998,5.335093459558345,10,0.7971,0.05335093459558345,10,0.5192912490187258,0.044323039299146806,10,3.9854999999999996,0.2667546729779172,10,6.1974,0.701519018511497,10,4.028555555555556,0.294892531167325
2-agent repeated dyad,game_myth,Game → Myth,10,62.943000000000005,6.504642871740839,10,125.88600000000001,13.009285743481678,10,0.75886,0.13009285743481677,10,0.49686895244294843,0.053628425926339617,10,3.7943,0.6504642871740838,10,5.6903500000000005,1.4147298142126719,10,3.765222222222222,0.7264854325286014
2-agent repeated dyad,myth_game,Myth → Game,10,69.825,5.468406735258652,10,139.65,10.936813470517304,10,0.8965,0.10936813470517309,10,0.534939570390623,0.04797872580414979,10,4.4825,0.5468406735258657,10,7.169700000000001,1.106801904387391,10,4.441111111111111,0.5331136378781098
8-agent rotating population,game,Game only,10,59.25875,2.164598772803454,10,474.07,17.31679018242764,10,0.685175,0.04329197545606909,10,0.5088951147001147,0.019167607205406736,10,3.425875,0.21645987728034544,10,5.237175,0.419164580014687,10,3.444083333333333,0.22370822789452596
8-agent rotating population,game_myth,Game → Myth,10,60.50625,2.6372811257260964,10,484.05,21.098249005808768,10,0.7101249999999999,0.052745622514521966,10,0.5366012423996054,0.03242772243626586,10,3.550625,0.26372811257260975,10,5.73255,0.6563608826958941,10,3.5873888888888894,0.3223319364088531
8-agent rotating population,myth_game,Myth → Game,10,66.325,2.512261597312933,10,530.6,20.09809277850346,10,0.8265,0.05024523194625867,10,0.5122028004037873,0.02789399681175788,10,4.1325,0.25122615973129364,10,6.358225,0.5696718286532265,10,4.044888888888889,0.230976753442855
