exp,cond,file,round,agent,n_tokens,ttr,entropy_bits,mean_sentence_length
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,7,Agent_2,224,0.6741071428571429,6.8762052462309535,12.444444444444445
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,8,Agent_2,233,0.6394849785407726,6.8352443367898035,12.944444444444445
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,8,Agent_1,226,0.6946902654867256,6.945299429614804,16.142857142857142
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,9,Agent_1,236,0.6016949152542372,6.739545690103031,13.882352941176471
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,9,Agent_2,232,0.6551724137931034,6.790180281772543,12.210526315789474
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,10,Agent_2,231,0.5887445887445888,6.58350238397493,13.588235294117647
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,10,Agent_1,237,0.6329113924050633,6.829189448268167,13.941176470588236
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,1,Agent_1,208,0.6634615384615384,6.638728600310393,13.0
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,1,Agent_2,198,0.6212121212121212,6.2765244960417865,15.23076923076923
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,2,Agent_2,212,0.6415094339622641,6.665427238298004,16.307692307692307
