exp,cond,metric,slope,early_r1_3,late_r8_10,n
claude_2agent_newprompt,control,n_tokens,1.367878787878803,205.66666666666666,215.26666666666668,100
claude_2agent_newprompt,control,ttr,0.005257796503775632,0.6625069663561618,0.6991797369524817,100
claude_2agent_newprompt,control,entropy_bits,0.031146388926930883,6.714453442483592,6.933277603843252,100
claude_2agent_newprompt,control,mean_sentence_length,-0.5896750521842858,15.318572954822953,11.066707754687295,100
claude_2agent_newprompt,directive,n_tokens,1.4448484848485028,206.4,215.96666666666667,100
claude_2agent_newprompt,directive,ttr,0.0023435580428720166,0.617582985307641,0.6394089561699476,100
claude_2agent_newprompt,directive,entropy_bits,0.024421970164114837,6.517314904567686,6.705653608352815,100
claude_2agent_newprompt,directive,mean_sentence_length,-0.4162175350441838,13.10852273603216,10.12259388650166,100
claude_2agent_newprompt,normative,n_tokens,1.7715151515151568,208.2,220.23333333333332,100
claude_2agent_newprompt,normative,ttr,0.0030401160444119796,0.6034406227660104,0.6245898047707491,100
claude_2agent_newprompt,normative,entropy_bits,0.02100800576169169,6.538308995800515,6.683326306391904,100
claude_2agent_newprompt,normative,mean_sentence_length,-0.3374779415593379,13.377507122507122,10.983627154614862,100
gemini31_8agent_named,directive,n_tokens,-0.33606060606063587,203.10833333333332,201.36666666666667,400
gemini31_8agent_named,directive,ttr,0.0031532546777883574,0.5841757206258154,0.6060392974309317,400
gemini31_8agent_named,directive,entropy_bits,0.006202389120740689,6.21026420772274,6.259803908452574,400
gemini31_8agent_named,directive,mean_sentence_length,0.5258058248569597,17.77173868955119,21.394196127946127,400
gemini_2agent_clamped,control,n_tokens,0.169090909090918,199.96666666666667,201.6,100
gemini_2agent_clamped,control,ttr,-0.0034310696194821233,0.6369006444251543,0.6156198013435478,100
gemini_2agent_clamped,control,entropy_bits,-0.012001814079353622,6.381871010079588,6.315839489311335,100
gemini_2agent_clamped,control,mean_sentence_length,0.3806884210066038,19.965951178451178,22.607385762385768,100
gemini_2agent_clamped,directive,n_tokens,-0.13939393939393477,202.7,201.5,100
gemini_2agent_clamped,directive,ttr,0.004255125407976789,0.5962922344953913,0.6262033966323756,100
gemini_2agent_clamped,directive,entropy_bits,0.015491910665839314,6.219269205042452,6.327983279917581,100
gemini_2agent_clamped,directive,mean_sentence_length,0.5438018160290892,19.791710696710695,23.42459475709476,100
gemini_2agent_clamped,normative,n_tokens,-0.052727272727260424,202.7,202.93333333333334,100
gemini_2agent_clamped,normative,ttr,0.002216180536376195,0.5772119422752489,0.5933174700680862,100
gemini_2agent_clamped,normative,entropy_bits,0.004674711627725886,6.181442424739754,6.227457567285886,100
gemini_2agent_clamped,normative,mean_sentence_length,0.7318725415998152,18.105523180523182,23.448007455507458,100
sonnet45_2agent_dir_vs_norm,directive,n_tokens,1.9296969696969832,208.86666666666667,222.8,100
sonnet45_2agent_dir_vs_norm,directive,ttr,0.00384868133639615,0.6062124168068165,0.6324038986436736,100
sonnet45_2agent_dir_vs_norm,directive,entropy_bits,0.03676525619634418,6.485798052874727,6.739645186210678,100
sonnet45_2agent_dir_vs_norm,directive,mean_sentence_length,-0.1683603581754573,13.554541343302953,12.403733434894425,100
sonnet45_2agent_dir_vs_norm,normative,n_tokens,2.138181818181833,205.33333333333334,220.7,100
sonnet45_2agent_dir_vs_norm,normative,ttr,0.002571022027191736,0.6093307104298212,0.6236666373357704,100
sonnet45_2agent_dir_vs_norm,normative,entropy_bits,0.031697968351501994,6.516154728915935,6.724153861560235,100
sonnet45_2agent_dir_vs_norm,normative,mean_sentence_length,-0.17824436353940046,13.023347855561479,11.576883670027199,100
sonnet45_8agent_anon,directive,n_tokens,2.032272727272698,209.0,223.40833333333333,400
sonnet45_8agent_anon,directive,ttr,-0.0008250370465044918,0.6261522674202397,0.6192242468098708,400
sonnet45_8agent_anon,directive,entropy_bits,0.02092280830673292,6.582711548661934,6.728713664961153,400
sonnet45_8agent_anon,directive,mean_sentence_length,-0.3186058057143385,13.506337598384475,11.278667562556334,400
sonnet45_8agent_game_directive,directive,n_tokens,1.7054545454545333,207.89166666666668,219.55833333333334,400
sonnet45_8agent_game_directive,directive,ttr,0.0010941545228645056,0.621133056328539,0.6324921599058043,400
sonnet45_8agent_game_directive,directive,entropy_bits,0.030655436758369622,6.581040721224176,6.808303324100839,400
sonnet45_8agent_game_directive,directive,mean_sentence_length,-0.28657734272640356,13.592045179264607,11.66567769159039,400
sonnet45_8agent_named,directive,n_tokens,1.636818181818149,204.53333333333333,216.41666666666666,400
sonnet45_8agent_named,directive,ttr,-0.00027356760800169983,0.6301687277423783,0.6276361018070422,400
sonnet45_8agent_named,directive,entropy_bits,0.022476071586592962,6.589330171375934,6.749942179472503,400
sonnet45_8agent_named,directive,mean_sentence_length,-0.17058629337181663,12.944663320363448,11.68250762812821,400
