exp,cond,round,mean,std,count
sonnet45_2agent_dir_vs_norm,normative,8,0.74942875,0.11007467,5
sonnet45_2agent_dir_vs_norm,normative,9,0.76402634,0.0990434,5
sonnet45_2agent_dir_vs_norm,normative,10,0.7749902,0.14144592,5
sonnet45_8agent_anon,directive,1,0.75818664,0.01782233,5
sonnet45_8agent_anon,directive,2,0.6607883,0.048005342,5
sonnet45_8agent_anon,directive,3,0.6435033,0.049793947,5
sonnet45_8agent_anon,directive,4,0.6685735,0.02763806,5
sonnet45_8agent_anon,directive,5,0.6852019,0.02617873,5
sonnet45_8agent_anon,directive,6,0.70031554,0.02965643,5
sonnet45_8agent_anon,directive,7,0.69512784,0.011810664,5
sonnet45_8agent_anon,directive,8,0.6789915,0.04113644,5
sonnet45_8agent_anon,directive,9,0.6986614,0.027786536,5
sonnet45_8agent_anon,directive,10,0.70466715,0.005553467,5
sonnet45_8agent_game_directive,directive,1,0.7835525,0.0134808635,5
sonnet45_8agent_game_directive,directive,2,0.67910475,0.03248702,5
sonnet45_8agent_game_directive,directive,3,0.6465978,0.020903172,5
sonnet45_8agent_game_directive,directive,4,0.63928133,0.009781087,5
sonnet45_8agent_game_directive,directive,5,0.63393164,0.035925142,5
sonnet45_8agent_game_directive,directive,6,0.65551573,0.018292053,5
sonnet45_8agent_game_directive,directive,7,0.65737754,0.019527297,5
sonnet45_8agent_game_directive,directive,8,0.66811883,0.020755041,5
sonnet45_8agent_game_directive,directive,9,0.6725036,0.021990048,5
sonnet45_8agent_game_directive,directive,10,0.6668391,0.021745728,5
sonnet45_8agent_named,directive,1,0.78397894,0.014223371,5
sonnet45_8agent_named,directive,2,0.66292137,0.01739599,5
sonnet45_8agent_named,directive,3,0.6312648,0.028894888,5
sonnet45_8agent_named,directive,4,0.6426796,0.018582325,5
sonnet45_8agent_named,directive,5,0.62945044,0.04478372,5
sonnet45_8agent_named,directive,6,0.6406465,0.033741318,5
sonnet45_8agent_named,directive,7,0.6455418,0.042430237,5
sonnet45_8agent_named,directive,8,0.65754926,0.040033724,5
sonnet45_8agent_named,directive,9,0.6679156,0.05057516,5
sonnet45_8agent_named,directive,10,0.68441916,0.016520767,5
