availability,condition,replicate_id,round,agent_id,author_type,coop_density,threat_density,half_rule,punishment_density
off,control,93,9,Agent_8,standard,1.5873015873015872,0.0,1.0,0.0
off,control,93,10,Agent_1,standard,1.4705882352941175,0.0,1.0,0.0
off,control,93,10,Agent_2,standard,2.0100502512562812,1.0050251256281406,1.0,0.0
off,control,93,10,Agent_3,standard,0.9615384615384616,0.0,1.0,0.0
off,control,93,10,Agent_4,standard,1.4925373134328357,0.0,1.0,0.0
off,control,93,10,Agent_5,standard,1.5151515151515151,1.0101010101010102,1.0,0.0
off,control,93,10,Agent_6,standard,1.9417475728155338,0.0,1.0,0.0
off,control,93,10,Agent_7,standard,1.5,0.0,0.0,0.0
off,control,93,10,Agent_8,standard,1.0,0.0,0.0,0.0
off,control,94,1,Agent_1,standard,3.1914893617021276,0.0,0.0,0.0
off,control,94,1,Agent_2,standard,3.076923076923077,0.0,1.0,0.0
off,control,94,1,Agent_3,standard,2.1621621621621623,0.0,1.0,0.0
off,control,94,1,Agent_4,standard,1.6666666666666667,0.0,1.0,0.0
off,control,94,1,Agent_5,standard,6.214689265536723,0.0,1.0,0.0
off,control,94,1,Agent_6,standard,2.604166666666667,0.0,0.0,0.0
off,control,94,1,Agent_7,standard,2.5906735751295336,0.0,0.0,0.0
off,control,94,1,Agent_8,standard,1.0526315789473684,0.5263157894736842,1.0,0.0
off,control,94,2,Agent_1,standard,3.571428571428571,0.5102040816326531,1.0,0.0
off,control,94,2,Agent_2,standard,3.1914893617021276,0.0,1.0,0.0
off,control,94,2,Agent_3,standard,3.1413612565445024,0.0,1.0,0.0
off,control,94,2,Agent_4,standard,1.5873015873015872,0.0,0.0,0.0
off,control,94,2,Agent_5,standard,2.1052631578947367,0.0,1.0,0.0
off,control,94,2,Agent_6,standard,2.1505376344086025,0.0,1.0,0.0
off,control,94,2,Agent_7,standard,2.5906735751295336,0.0,1.0,0.0
off,control,94,2,Agent_8,standard,2.6595744680851063,0.0,0.0,0.0
off,control,94,3,Agent_1,standard,1.5625,0.0,1.0,0.0
off,control,94,3,Agent_2,standard,1.5957446808510638,0.0,1.0,0.0
off,control,94,3,Agent_3,standard,2.051282051282051,0.0,1.0,0.0
off,control,94,3,Agent_4,standard,1.5706806282722512,0.0,1.0,0.0
off,control,94,3,Agent_5,standard,1.5706806282722512,0.0,1.0,0.0
off,control,94,3,Agent_6,standard,1.5544041450777202,0.0,0.0,0.0
off,control,94,3,Agent_7,standard,2.083333333333333,0.5208333333333333,0.0,0.0
off,control,94,3,Agent_8,standard,1.1299435028248588,0.0,0.0,0.0
off,control,94,4,Agent_1,standard,4.102564102564102,0.0,1.0,0.0
off,control,94,4,Agent_2,standard,2.717391304347826,0.0,0.0,0.0
off,control,94,4,Agent_3,standard,1.4851485148514851,0.0,1.0,0.0
off,control,94,4,Agent_4,standard,1.6042780748663104,0.0,1.0,0.0
off,control,94,4,Agent_5,standard,3.1413612565445024,0.0,1.0,0.0
off,control,94,4,Agent_6,standard,2.6455026455026456,0.0,1.0,0.0
off,control,94,4,Agent_7,standard,2.0100502512562812,0.0,1.0,0.0
off,control,94,4,Agent_8,standard,1.6853932584269662,0.0,0.0,0.0
off,control,94,5,Agent_1,standard,2.604166666666667,0.0,1.0,0.0
off,control,94,5,Agent_2,standard,2.7027027027027026,0.5405405405405406,1.0,0.0
off,control,94,5,Agent_3,standard,1.5625,1.0416666666666665,1.0,0.0
off,control,94,5,Agent_4,standard,1.5873015873015872,0.5291005291005291,1.0,0.0
off,control,94,5,Agent_5,standard,2.1164021164021163,0.0,1.0,0.0
off,control,94,5,Agent_6,standard,1.5789473684210527,0.5263157894736842,0.0,0.0
off,control,94,5,Agent_7,standard,2.564102564102564,0.0,0.0,0.0
off,control,94,5,Agent_8,standard,2.6881720430107525,0.5376344086021506,1.0,0.0
off,control,94,6,Agent_1,standard,2.072538860103627,0.0,1.0,0.0
off,control,94,6,Agent_2,standard,2.0618556701030926,0.0,1.0,0.0
off,control,94,6,Agent_3,standard,3.1413612565445024,0.0,1.0,0.0
off,control,94,6,Agent_4,standard,2.083333333333333,0.0,1.0,0.0
off,control,94,6,Agent_5,standard,2.631578947368421,0.0,1.0,0.0
off,control,94,6,Agent_6,standard,2.1164021164021163,0.0,1.0,0.0
off,control,94,6,Agent_7,standard,1.5384615384615385,0.5128205128205128,1.0,0.0
off,control,94,6,Agent_8,standard,2.6178010471204187,0.0,1.0,0.0
off,control,94,7,Agent_1,standard,3.723404255319149,0.0,1.0,0.0
off,control,94,7,Agent_2,standard,1.5151515151515151,0.0,1.0,0.0
off,control,94,7,Agent_3,standard,2.604166666666667,0.0,1.0,0.0
off,control,94,7,Agent_4,standard,0.5263157894736842,0.0,1.0,0.0
off,control,94,7,Agent_5,standard,1.6042780748663104,0.0,0.0,0.0
off,control,94,7,Agent_6,standard,2.564102564102564,0.0,1.0,0.0
off,control,94,7,Agent_7,standard,2.4875621890547266,0.0,1.0,0.0
off,control,94,7,Agent_8,standard,1.9900497512437811,0.0,1.0,0.0
off,control,94,8,Agent_1,standard,2.1052631578947367,0.5263157894736842,0.0,0.0
off,control,94,8,Agent_2,standard,1.0050251256281406,0.5025125628140703,0.0,0.0
off,control,94,8,Agent_3,standard,2.525252525252525,0.0,1.0,0.0
off,control,94,8,Agent_4,standard,1.06951871657754,0.0,0.0,0.0
off,control,94,8,Agent_5,standard,3.1578947368421053,0.0,1.0,0.0
off,control,94,8,Agent_6,standard,0.5181347150259068,0.0,0.0,0.0
off,control,94,8,Agent_7,standard,1.4705882352941175,0.0,1.0,0.0
