policy,policy_label,replicate_id,defector_ids,n_direct_exposures,n_direct_sender_exposures,n_substitutions,direct_target_coop_density,direct_target_threat_density,direct_target_half_rule,direct_sender_send_ratio,direct_receiver_return_ratio,presented_coop_density,presented_threat_density,population_standard_send_ratio,population_standard_myth_coop_density,population_standard_myth_threat_density,defector_post_coop_density,defector_post_threat_density
normal,Defector myth,50,"Agent_7,Agent_8",12,5,0,2.065016892573564,0.08191244425123573,0.0,1.0,0.5777333333333333,1.9205309345168933,0.16462013848443668,1.0,2.2598656062781757,0.0328028500981946,1.6540511511212712,0.19079734360958775
normal,Defector myth,51,"Agent_4,Agent_7",16,6,0,2.1598980838969517,0.09044294635492939,0.0625,1.0,0.509625,2.15474487091263,0.2151171199933186,1.0,2.373619135080449,0.09826042839429007,2.1602992041444264,0.19121521777183875
normal,Defector myth,52,"Agent_1,Agent_5",16,8,0,1.7579513664492565,0.09222251052832828,0.125,1.0,0.5113333333333333,2.099481860018866,0.18353636621493705,1.0,2.3712703604909464,0.06536655739617399,1.9413326613781234,0.1905160187700164
normal,Defector myth,53,"Agent_4,Agent_8",16,10,0,2.1910072859695977,0.06281407035175879,0.0,1.0,0.5566666666666666,1.6570238485780449,0.12424584792991944,1.0,2.121987917639468,0.0498410336472004,1.4913362386168827,0.08223996409337453
normal,Defector myth,54,"Agent_3,Agent_4",14,9,0,2.047659215848903,0.10576144722486187,0.07142857142857142,1.0,0.548,1.4862237592504555,0.21323721171816165,1.0,2.3729680650223526,0.06581225997001008,1.295283136179093,0.24742413479837358
normal,Defector myth,55,"Agent_2,Agent_8",16,10,0,2.0996918421941118,0.09134615384615385,0.125,0.9199999999999999,0.5138888888888888,1.784374142634327,0.15175518426662404,0.9733333333333333,2.427275680989443,0.07395369057372915,1.611730734591979,0.13489349712588805
normal,Defector myth,56,"Agent_1,Agent_4",16,7,0,2.188817586358938,0.18443466913898607,0.0,1.0,0.5190833333333333,2.0870301391549964,0.06098867098248287,1.0,2.478988542541948,0.12336466437575767,1.9161408178286865,0.08144526745283881
normal,Defector myth,57,"Agent_1,Agent_3",16,10,0,2.151570471132138,0.06203817733990148,0.125,0.9800000000000001,0.5666666666666665,1.9330666506935579,0.05995238314317262,0.9933333333333334,2.3921494483387944,0.06544981100450899,1.8268853212336147,0.05329100723837566
normal,Defector myth,58,"Agent_2,Agent_4",16,9,0,1.7822190639499,0.030193236714975844,0.0,1.0,0.5381666666666667,1.5000393000578809,0.09117029744217935,1.0,2.3419005647349183,0.06581054098589739,1.4680841066301387,0.0810402643930483
normal,Defector myth,59,"Agent_1,Agent_4",16,6,0,2.118537273409908,0.03078817733990148,0.0,1.0,0.49166666666666664,2.147385061890237,0.031407035175879394,1.0,2.3640478196272317,0.06552921256668423,2.1831501984141877,0.05515048006919127
standard_substitute,Ordinary substitute,50,"Agent_7,Agent_8",12,5,12,2.212794387850947,0.1240024940570978,0.0,0.8,0.5533333333333333,2.55464825641231,0.12336390173418506,0.9666666666666667,2.602202155559199,0.0820342372705877,1.7512011355434258,0.08266138266943227
standard_substitute,Ordinary substitute,51,"Agent_4,Agent_7",16,6,16,2.1594684036278027,0.03125,0.0625,0.8333333333333334,0.4700476190476191,2.259901887684281,0.03094059405940594,0.9666666666666667,2.230296056666615,0.04090204382870975,1.3065141706001409,0.0822453175270669
standard_substitute,Ordinary substitute,52,"Agent_1,Agent_5",16,8,16,1.9327682708683378,0.24266247435150098,0.0,1.0,0.5381904761904762,1.8453480778316438,0.24395548966449324,1.0,2.156450844830732,0.17954904369946162,1.2047716607757144,0.2184675177373526
standard_substitute,Ordinary substitute,53,"Agent_4,Agent_8",16,10,16,2.3154668415534267,0.03078817733990148,0.1875,1.0,0.5111111111111111,2.0446068704218696,0.03078817733990148,1.0,2.3026363138441615,0.02459029588847033,1.6654067236922938,0.21838009056766905
standard_substitute,Ordinary substitute,54,"Agent_3,Agent_4",14,9,14,2.4415423120078756,0.0703883495145631,0.07142857142857142,1.0,0.4648,2.613902247137169,0.03450655624568668,1.0,2.5299986876260956,0.04101899196803201,1.5748279826455895,0.18985572705968604
standard_substitute,Ordinary substitute,55,"Agent_2,Agent_8",16,10,16,2.1075203496743975,0.06157635467980296,0.0625,1.0,0.4917777777777777,2.248553654435917,0.06097560975609756,1.0,2.2292402401202986,0.024550442548760466,1.8233618336606885,0.2161635365691176
standard_substitute,Ordinary substitute,56,"Agent_1,Agent_4",16,7,16,2.0362318249416216,0.06024411204533841,0.0625,1.0,0.59625,2.9460649441466917,0.0,1.0,2.4710089178312016,0.03302873479260062,1.4867431603022307,0.13360163157953
standard_substitute,Ordinary substitute,57,"Agent_1,Agent_3",16,10,16,2.4726145508330832,0.03156565656565657,0.0,1.0,0.611111111111111,2.6047015539611786,0.06266648238427903,1.0,2.385545443022518,0.04155530955754423,1.4291764206019137,0.13767453687147332
standard_substitute,Ordinary substitute,58,"Agent_2,Agent_4",16,9,16,2.014485090084512,0.0,0.0625,1.0,0.5465,2.319941698335439,0.06172877139930742,1.0,2.298436586188175,0.02455162059321337,1.4858357831350943,0.16464541190961202
standard_substitute,Ordinary substitute,59,"Agent_1,Agent_4",16,6,16,2.318092691982522,0.06218905472636816,0.0625,1.0,0.54475,2.539476430577251,0.09297723206626964,1.0,2.5129707596892836,0.04090638885363928,1.5555513255520481,0.13656803717655644
