group,stem,round,investor,trustee,pair_sim_t,pair_sim_tm1,sent_frac,ret_frac
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_6,Agent_3,0.6789194941520691,0.6341518759727478,1.0,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_7,Agent_4,0.690488338470459,0.6701664924621582,1.0,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_5,Agent_8,0.581133246421814,0.650467038154602,1.0,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,Agent_1,Agent_2,0.7202597856521606,0.6306903958320618,1.0,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_7,Agent_3,0.6937747001647949,0.7325217723846436,1.0,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_5,Agent_2,0.5899239778518677,0.7614883184432983,1.0,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_1,Agent_6,0.7230911254882812,0.7127159237861633,1.0,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_8,Agent_4,0.6367211937904358,0.7331992983818054,1.0,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_4,Agent_5,0.6187762022018433,0.6000968217849731,1.0,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_3,Agent_1,0.5936024188995361,0.6763227581977844,1.0,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_2,Agent_8,0.5737683176994324,0.626545786857605,0.8,0.5833333333333334
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_6,Agent_7,0.6328612565994263,0.6757041215896606,1.0,0.6666666666666666
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_6,Agent_5,0.7674152851104736,nan,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_1,Agent_4,0.774329423904419,nan,0.6,0.5555555555555556
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_7,Agent_3,0.8114678859710693,nan,0.8,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_8,Agent_2,0.8214845061302185,nan,1.0,0.4666666666666667
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_4,Agent_6,0.5347557067871094,0.7510321140289307,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_3,Agent_1,0.6297193765640259,0.7946580052375793,0.8,0.5833333333333334
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_2,Agent_7,0.6762210130691528,0.7470818758010864,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_5,Agent_8,0.7548770308494568,0.8214941024780273,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_7,Agent_4,0.6718891859054565,0.5652319192886353,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_1,Agent_8,0.6948654651641846,0.6079859733581543,0.8,0.5833333333333334
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_3,Agent_6,0.6223958730697632,0.5628300905227661,0.8,0.5833333333333334
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_5,Agent_2,0.6209695339202881,0.7309483289718628,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_4,Agent_5,0.538230299949646,0.39701932668685913,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_2,Agent_7,0.5338861346244812,0.6682677268981934,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_8,Agent_3,0.6065778136253357,0.5763189792633057,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_6,Agent_1,0.7330085635185242,0.6778432726860046,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_3,Agent_4,0.49229997396469116,0.5379972457885742,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_8,Agent_7,0.4245918393135071,0.4705091714859009,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_5,Agent_6,0.7058490514755249,0.7172571420669556,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_1,Agent_2,0.5819440484046936,0.6816220283508301,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_6,Agent_1,0.6572542190551758,0.7893165349960327,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_2,Agent_3,0.5689350366592407,0.5415534973144531,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_4,Agent_8,0.6320320963859558,0.3722239136695862,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_7,Agent_5,0.510967493057251,0.4936739206314087,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,7,Agent_4,Agent_5,0.5984268188476562,0.5102236270904541,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,7,Agent_8,Agent_3,0.6378979682922363,0.5562843680381775,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,7,Agent_6,Agent_2,0.6692665815353394,0.6519050598144531,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,7,Agent_7,Agent_1,0.522335410118103,0.5394144058227539,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,8,Agent_2,Agent_4,0.5246657133102417,0.6261597871780396,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,8,Agent_3,Agent_6,0.6237646341323853,0.6736316680908203,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,8,Agent_5,Agent_7,0.5305145978927612,0.749954104423523,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,8,Agent_1,Agent_8,0.5305789709091187,0.5832375288009644,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,9,Agent_3,Agent_5,0.6129210591316223,0.5688595771789551,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,9,Agent_7,Agent_1,0.5663255453109741,0.7530666589736938,1.0,0.5333333333333333
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,9,Agent_6,Agent_2,0.7200407981872559,0.8858840465545654,1.0,0.5
pop8_named,sonnet45_8agent_myth_directive_history3_r10_n5_001_neutral_rep01_myth_game_directive_anything,9,Agent_8,Agent_4,0.6630175709724426,0.8076170682907104,1.0,0.5333333333333333
