condition,condition_label,n_simulations,mean_trust_ratio,std_trust_ratio,mean_return_ratio,std_return_ratio,mean_final_balance,std_final_balance
game,Game Only,10,0.278,0.301390112644725,0.16477777777777777,0.22584712954989247,38.9,15.069505632236247
game_myth,Game → Myth,10,0.21399999999999997,0.25908299828433357,0.08766666666666667,0.2059452462292938,35.7,12.95414991421668
myth_game,Myth → Game,8,0.34249999999999997,0.28834657965718963,0.14944444444444444,0.20538431305575097,42.125,14.41732898285948
