Prompt Condition,condition,mean_balance_r10,replicate,path,source
Myth-Game Directive,No Noise,75.0,1,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth-Game Directive,No Noise,65.0,2,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth-Game Directive,No Noise,65.0,2,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth-Game Directive,No Noise,65.0,3,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth-Game Directive,No Noise,65.0,3,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth-Game Directive,No Noise,55.0,4,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Myth-Game Directive,No Noise,55.0,4,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything_2.json,data/plots/myth_causal_neutral_directive_claude_r10_n10_combined/run_metrics.csv
Game Only,Noise (Informed),35.75,0,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_000_neutral_rep00.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Game Only,Noise (Informed),34.0,1,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_001_neutral_rep01.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Game Only,Noise (Informed),35.0,2,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_002_neutral_rep02.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
