model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_2,220,144,0.6545454545454545,6.793367684268783,10.95,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_1,232,143,0.6163793103448276,6.723268856176037,12.833333333333334,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_1,215,137,0.6372093023255814,6.746331122615071,11.263157894736842,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_2,223,139,0.6233183856502242,6.641706927999787,9.652173913043478,23
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_2,216,142,0.6574074074074074,6.7248241950057865,10.75,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_1,210,134,0.638095238095238,6.769519592748744,8.36,25
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_1,219,133,0.6073059360730594,6.738152359331589,9.909090909090908,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_2,217,130,0.5990783410138248,6.669339657449426,10.8,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_2,212,137,0.6462264150943396,6.68636299780043,10.047619047619047,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_1,223,132,0.5919282511210763,6.698556963580271,11.68421052631579,19
