metric,contrast_type,replicate_id,difference
myth_coop_density,availability_defectors25,82,0.09133840508496283
myth_coop_density,availability_defectors25,83,-0.41945112726527567
myth_coop_density,availability_defectors25,84,-0.09138213490169145
myth_coop_density,availability_defectors25,85,-0.3414087793186349
myth_coop_density,availability_defectors25,86,-0.15959406828722678
myth_coop_density,availability_defectors25,87,-0.06912966682527655
myth_coop_density,availability_defectors25,88,0.2522327634104813
myth_coop_density,availability_defectors25,89,-0.0239662896151156
myth_coop_density,availability_control,80,0.16709145916483514
myth_coop_density,availability_control,81,0.2078314840935347
myth_coop_density,availability_control,82,-0.04181051371104205
myth_coop_density,availability_control,83,0.022715075078908686
myth_coop_density,availability_control,84,0.2414193852922284
myth_coop_density,availability_control,85,-0.3425558027185067
myth_coop_density,availability_control,86,0.044183560411631184
myth_coop_density,availability_control,87,0.3968669605239019
myth_coop_density,availability_control,88,-0.09600336235851836
myth_coop_density,availability_control,89,-0.14416965527660697
myth_coop_density,availability_main,80,0.06263464670390806
myth_coop_density,availability_main,81,-0.149141862691327
myth_coop_density,availability_main,82,0.024763945686960387
myth_coop_density,availability_main,83,-0.1983680260931835
myth_coop_density,availability_main,84,0.07501862519526847
myth_coop_density,availability_main,85,-0.3419822910185708
myth_coop_density,availability_main,86,-0.057705253937797796
myth_coop_density,availability_main,87,0.16386864684931268
myth_coop_density,availability_main,88,0.07811470052598146
myth_coop_density,availability_main,89,-0.08406797244586128
myth_coop_density,interaction,80,-0.20891362492185417
myth_coop_density,interaction,81,-0.7139466935697234
myth_coop_density,interaction,82,0.13314891879600488
myth_coop_density,interaction,83,-0.44216620234418436
myth_coop_density,interaction,84,-0.33280152019391984
myth_coop_density,interaction,85,0.0011470233998718271
myth_coop_density,interaction,86,-0.20377762869885796
myth_coop_density,interaction,87,-0.46599662734917846
myth_coop_density,interaction,88,0.34823612576899965
myth_coop_density,interaction,89,0.12020336566149137
myth_coop_density,defector_effect_off,80,-0.06358826121001693
myth_coop_density,defector_effect_off,81,-0.010335558430671021
myth_coop_density,defector_effect_off,82,-0.06162335874015312
myth_coop_density,defector_effect_off,83,0.19882415365450612
myth_coop_density,defector_effect_off,84,0.17621279547068047
myth_coop_density,defector_effect_off,85,-0.41611623846026324
myth_coop_density,defector_effect_off,86,0.13077199716101084
myth_coop_density,defector_effect_off,87,0.16187665394885897
myth_coop_density,defector_effect_off,88,-0.14977356863122093
myth_coop_density,defector_effect_off,89,-0.15477961253053518
myth_coop_density,defector_effect_on,80,-0.2725018861318711
myth_coop_density,defector_effect_on,81,-0.7242822520003944
myth_coop_density,defector_effect_on,82,0.07152556005585176
myth_coop_density,defector_effect_on,83,-0.24334204868967824
myth_coop_density,defector_effect_on,84,-0.15658872472323937
myth_coop_density,defector_effect_on,85,-0.4149692150603914
myth_coop_density,defector_effect_on,86,-0.07300563153784712
myth_coop_density,defector_effect_on,87,-0.3041199734003195
myth_coop_density,defector_effect_on,88,0.19846255713777872
myth_coop_density,defector_effect_on,89,-0.034576246869043814
myth_threat_density,availability_defectors25,80,0.3335788585313602
myth_threat_density,availability_defectors25,81,0.34352322762032694
myth_threat_density,availability_defectors25,82,0.4776948911868687
myth_threat_density,availability_defectors25,83,0.40683961138658814
myth_threat_density,availability_defectors25,84,0.28672343582042487
myth_threat_density,availability_defectors25,85,0.36007685145543106
myth_threat_density,availability_defectors25,86,0.35487318574473603
myth_threat_density,availability_defectors25,87,0.3165483398615484
myth_threat_density,availability_defectors25,88,0.43533374120657947
myth_threat_density,availability_defectors25,89,0.28932284498052274
myth_threat_density,availability_control,80,0.1920069042596382
myth_threat_density,availability_control,81,0.32714699341266623
myth_threat_density,availability_control,82,0.22207909432934872
myth_threat_density,availability_control,83,0.17921574428568685
myth_threat_density,availability_control,84,0.22741130480909236
myth_threat_density,availability_control,85,0.19639351631112148
myth_threat_density,availability_control,86,0.282208766525345
myth_threat_density,availability_control,87,0.15361200275803422
myth_threat_density,availability_control,88,0.12531139832308155
myth_threat_density,availability_control,89,0.2893971034485869
myth_threat_density,availability_main,80,0.2627928813954992
myth_threat_density,availability_main,81,0.33533511051649656
myth_threat_density,availability_main,82,0.3498869927581087
myth_threat_density,availability_main,83,0.2930276778361375
myth_threat_density,availability_main,84,0.2570673703147586
myth_threat_density,availability_main,85,0.2782351838832763
myth_threat_density,availability_main,86,0.3185409761350405
myth_threat_density,availability_main,87,0.2350801713097913
myth_threat_density,availability_main,88,0.2803225697648305
myth_threat_density,availability_main,89,0.28935997421455484
myth_threat_density,interaction,80,0.141571954271722
myth_threat_density,interaction,81,0.01637623420766071
myth_threat_density,interaction,82,0.25561579685752
myth_threat_density,interaction,83,0.2276238671009013
myth_threat_density,interaction,84,0.05931213101133251
myth_threat_density,interaction,85,0.16368333514430958
myth_threat_density,interaction,86,0.07266441921939104
myth_threat_density,interaction,87,0.16293633710351418
myth_threat_density,interaction,88,0.31002234288349795
myth_threat_density,interaction,89,-7.425846806413672e-05
myth_threat_density,defector_effect_off,80,0.02136923724936761
myth_threat_density,defector_effect_off,81,0.032710947548275866
myth_threat_density,defector_effect_off,82,-0.044572789876098834
myth_threat_density,defector_effect_off,83,-0.03277545102882824
myth_threat_density,defector_effect_off,84,0.0895261032240757
myth_threat_density,defector_effect_off,85,-0.012998050855030654
myth_threat_density,defector_effect_off,86,0.012070630323587954
myth_threat_density,defector_effect_off,87,-0.023048257921154183
myth_threat_density,defector_effect_off,88,0.0058084341980216
myth_threat_density,defector_effect_off,89,0.09771312617567544
myth_threat_density,defector_effect_on,80,0.1629411915210896
myth_threat_density,defector_effect_on,81,0.04908718175593657
myth_threat_density,defector_effect_on,82,0.21104300698142114
myth_threat_density,defector_effect_on,83,0.19484841607207304
