availability,condition,replicate_id,round,standard_send_ratio,standard_return_ratio
off,defectors25,83,6,1.0,0.4666666666666667
off,defectors25,83,7,1.0,0.44899999999999995
off,defectors25,83,8,1.0,0.6564444444444445
off,defectors25,83,9,1.0,0.4693333333333333
off,defectors25,83,10,0.6666666666666666,0.40800000000000003
off,defectors25,84,1,1.0,0.5333333333333333
off,defectors25,84,2,1.0,0.5153333333333333
off,defectors25,84,3,1.0,0.48200000000000004
off,defectors25,84,4,1.0,0.5166666666666666
off,defectors25,84,5,1.0,0.577
off,defectors25,84,6,1.0,0.5333333333333333
off,defectors25,84,7,1.0,0.5833333333333333
off,defectors25,84,8,1.0,0.5133333333333333
off,defectors25,84,9,1.0,0.5833333333333333
off,defectors25,84,10,1.0,0.6
off,defectors25,85,1,1.0,0.5333333333333333
off,defectors25,85,2,1.0,0.5333333333333333
off,defectors25,85,3,1.0,0.5386666666666666
off,defectors25,85,4,1.0,0.47022222222222226
off,defectors25,85,5,1.0,0.5124444444444444
off,defectors25,85,6,1.0,0.4643333333333333
off,defectors25,85,7,1.0,0.5823333333333334
off,defectors25,85,8,1.0,0.488
off,defectors25,85,9,1.0,0.5293333333333333
off,defectors25,85,10,0.6666666666666666,0.49
off,defectors25,86,1,1.0,0.4493333333333333
off,defectors25,86,2,1.0,0.509
off,defectors25,86,3,1.0,0.5333333333333333
off,defectors25,86,4,0.75,0.5
off,defectors25,86,5,1.0,0.4776666666666667
off,defectors25,86,6,1.0,0.4478333333333333
off,defectors25,86,7,1.0,0.49766666666666665
off,defectors25,86,8,1.0,0.4637777777777778
off,defectors25,86,9,1.0,0.5833333333333333
off,defectors25,86,10,1.0,0.49688888888888894
off,defectors25,87,1,1.0,0.5333333333333333
off,defectors25,87,2,1.0,0.5573333333333333
off,defectors25,87,3,1.0,0.4866666666666667
off,defectors25,87,4,1.0,0.4876666666666667
off,defectors25,87,5,1.0,0.48333333333333334
off,defectors25,87,6,1.0,0.5833333333333333
off,defectors25,87,7,1.0,0.5388888888888889
off,defectors25,87,8,1.0,0.5
off,defectors25,87,9,1.0,0.5
off,defectors25,87,10,1.0,0.5573333333333333
off,defectors25,88,1,1.0,0.4797777777777778
off,defectors25,88,2,1.0,0.5333333333333333
off,defectors25,88,3,1.0,0.536
off,defectors25,88,4,1.0,0.497
off,defectors25,88,5,1.0,0.485
off,defectors25,88,6,0.7333333333333334,0.7493333333333334
off,defectors25,88,7,0.4666666666666666,0.7826666666666666
off,defectors25,88,8,1.0,0.5166666666666666
off,defectors25,88,9,0.5,0.4666666666666667
off,defectors25,88,10,0.5,1.0
off,defectors25,89,1,1.0,0.5333333333333333
off,defectors25,89,2,1.0,0.5606666666666666
off,defectors25,89,3,1.0,0.6666666666666666
off,defectors25,89,4,1.0,0.5333333333333333
off,defectors25,89,5,1.0,0.6
off,defectors25,89,6,1.0,0.6523333333333333
off,defectors25,89,7,1.0,0.542
off,defectors25,89,8,1.0,0.5966666666666667
off,defectors25,89,9,1.0,0.54
off,defectors25,89,10,1.0,0.5666666666666667
on,control,80,1,1.0,0.46266666666666667
