meme_family,group,runs_with_both_cells,adoption_exposed_mean,adoption_exposed_sd,adoption_unexposed_mean,adoption_unexposed_sd,exposure_diff_mean,exposure_diff_sd,future_control_diff_mean,future_control_diff_sd,sham_control_diff_mean,sham_control_diff_sd,self_retention_diff_mean,self_retention_diff_sd
proportional_reciprocity,8-agent,20,0.8257893001670169,0.07414433720809299,0.7895108695652174,0.1899627068017786,0.03627843060179948,0.18469463933042193,-0.040247976889600634,0.14158444367800876,-0.004310219415776972,0.06534460299498178,0.013190417615244952,0.23006555641406418
proportional_reciprocity,2-agent,14,0.7099952582738954,0.20880254742526838,0.6181972789115646,0.34821735497580636,0.09179797936233075,0.2957840487466573,-0.011540901829168346,0.2649236987219074,nan,nan,0.1927919408232501,0.39314718696616996
proportional_reciprocity,pooled,34,0.7781094005639668,0.15390392393141736,0.7189699792960662,0.2754413689750749,0.05913942126790059,0.23425325386822307,-0.027808244363413313,0.20077643343820972,-0.004310219415776972,0.06534460299498178,0.08503102689844702,0.3061732680293785
sustainable_equilibrium,8-agent,20,0.32928461856788804,0.1213949576097151,0.22074203378729496,0.11443528587024031,0.1085425847805931,0.13832155528624318,0.05063043904989126,0.11828985477593647,-0.025166803268656123,0.06165300008864107,0.13669470336784884,0.08022051892972809
sustainable_equilibrium,2-agent,19,0.5075018803952711,0.2237091960181748,0.4251858351951484,0.16830782289434837,0.08231604520012276,0.19369045202016924,0.10454518521608172,0.356947624674756,nan,nan,0.16532242786368648,0.3175614047972183
sustainable_equilibrium,pooled,39,0.41610841279148497,0.19803591083064392,0.32034286011419794,0.1751663951788649,0.09576555267728704,0.16587201700096976,0.07616900302334989,0.2578179078726149,-0.025166803268656123,0.06165300008864107,0.15025520444482457,0.22326838813241887
consistency_over_volatility,8-agent,20,0.8261388575956458,0.07710871572727794,0.5066256834393993,0.08274633164462156,0.31951317415624647,0.09434627464438146,0.35171896857196555,0.12505471520979347,0.17521376558105572,0.1124046294609467,0.46420892464974756,0.11173562983357924
consistency_over_volatility,2-agent,20,0.6748916361416362,0.2848695681663883,0.3661537584382412,0.1634936348374177,0.30873787770339495,0.21360472718964724,0.2828606484511657,0.34658935735666646,nan,nan,0.3372718410029546,0.32876927493530334
consistency_over_volatility,pooled,40,0.7505152468686409,0.2197661515452547,0.4363897209388202,0.14634775705114772,0.3141255259298207,0.163079094500433,0.31728980851156563,0.25953158528452597,0.17521376558105572,0.1124046294609467,0.40074038282635105,0.2507444243441543
trust_escalation,8-agent,13,0.21256799724558878,0.21096677199859393,0.08689101241315335,0.05011695410960946,0.12567698483243545,0.1887661461659083,0.08634271442593536,0.18505720318826527,0.0461719367380592,0.2946858093303391,0.16382614034331458,0.16305434868387117
trust_escalation,2-agent,11,0.45598604611762505,0.2429385629636655,0.3804982599100246,0.1072159153764864,0.07548778620760045,0.2847520753389834,0.10532961292842714,0.26042876336039295,nan,nan,0.2171623365025068,0.23799848796077902
trust_escalation,pooled,24,0.3241346029786054,0.2534389928929021,0.22146100084921935,0.16923516502656297,0.10267360212938607,0.2334465879535331,0.09504504290624409,0.2178285546654078,0.0461719367380592,0.2946858093303391,0.1896861142386805,0.20143891513277598
noise_adaptation,8-agent,19,0.27337376351919807,0.1318450250311802,0.2043105124382007,0.13527831582955915,0.06906325108099738,0.12365942641660009,0.06817727525814743,0.10458623152241112,0.012171378297719486,0.12145047296611326,0.04932714484876334,0.14943713452930849
noise_adaptation,2-agent,16,0.3089756010118913,0.19453802934383022,0.384324664755465,0.2536147455691478,-0.07534906374357365,0.2648342668988452,-0.058625600892121585,0.2504626749963835,nan,nan,0.07038308907107058,0.22399458344668358
noise_adaptation,pooled,35,0.2896488892301436,0.16193505664555505,0.2866026963546644,0.2152749263854549,0.003046192875479193,0.2106326219694038,0.011820441413583422,0.19211044164353258,0.012171378297719486,0.12145047296611326,0.05985511695991696,0.18824623189451273
prosperity_through_cooperation,8-agent,20,0.2137000148798051,0.08571136550563274,0.18996426708796404,0.08254515194413098,0.023735747791841056,0.08969506431059447,-0.010653060229222475,0.09263936194710687,-0.03373380011846588,0.11543490612459896,0.07989529841023003,0.07844270205794478
prosperity_through_cooperation,2-agent,17,0.15908558160106148,0.14137014659228153,0.23075423978881204,0.13646176028730192,-0.07166865818775056,0.15851266225630445,-0.06773737756399253,0.26680952646017964,nan,nan,0.0077196386942472274,0.1978439524075002
prosperity_through_cooperation,pooled,37,0.18860689688686885,0.11628025858148243,0.20870560589646178,0.11089265409732688,-0.02009870900959293,0.1331789855016371,-0.03602386793356473,0.189724185683672,-0.03373380011846588,0.11543490612459896,0.04473279752295636,0.1515038263950449
trust_seeding,8-agent,20,0.16611346700710242,0.061809703518979325,0.1474307712460833,0.049415978743137065,0.018682695761019115,0.05184258534348638,-0.0021649136480812437,0.06799810244924337,-0.03860194422178706,0.08786473932942268,0.0720284307509804,0.05588452689533578
trust_seeding,2-agent,16,0.3001920822233322,0.21430134080996238,0.2614295035368874,0.10427359879990857,0.03876257868644487,0.25697739739888076,0.022500474833808164,0.22841723482638654,nan,nan,0.048037945617655536,0.13538652869406825
trust_seeding,pooled,36,0.2257039626587601,0.1622397293573093,0.19809687448644064,0.09636374867260294,0.02760708817231945,0.17280957117601695,0.00840596712987136,0.1556303934796264,-0.03860194422178706,0.08786473932942268,0.061005775419452755,0.09970783681259385
punitive_deterrence,8-agent,20,0.06696536384945793,0.04510971952734512,0.042522884267085816,0.024805801702916352,0.02444247958237212,0.049052121288065166,0.001434621059378703,0.05852451127402433,-0.015602022327553174,0.03651546969510079,0.019113243263842148,0.04520297922660099
punitive_deterrence,2-agent,16,0.07249072636300898,0.09955000797755043,0.10622579049303187,0.10982545362353356,-0.0337350641300229,0.08729419467552259,-0.009900664987597554,0.16091752549692762,nan,nan,0.020864063919619476,0.0785602110333032
punitive_deterrence,pooled,36,0.06942108052214728,0.07320953976532567,0.07083528703417295,0.08083268944265537,-0.0014142065120256668,0.0736993540435605,-0.003232849665846815,0.1104760007463348,-0.015602022327553174,0.03651546969510079,0.019942579363947197,0.06233539026538358
repair_after_disruption,8-agent,8,0.05178571428571428,0.0793330434209205,0.015549931851806465,0.011835469742887652,0.03623578243390782,0.07375464533843211,-0.020615007679601675,0.01943884357650622,0.008400252947128109,0.06109479047622547,0.021727386985239454,0.06087091927236109
repair_after_disruption,2-agent,1,0,0.0,0.1111111111111111,0.0,-0.1111111111111111,0.0,-0.11538461538461539,0.0,nan,nan,0.19883266696992186,0.2100635686098813
repair_after_disruption,pooled,9,0.046031746031746035,0.0761904761904762,0.02616784065839587,0.03372281776269441,0.01986390537335016,0.08468839632291601,-0.031144964091269864,0.03644934701647728,0.008400252947128109,0.06109479047622547,0.05124493364935319,0.11338193382214581
