condition,run,round,agent,model,myth_prompt_arm_id,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences,network_community_count,network_community_per_1k,stranger_portability_count,stranger_portability_per_1k,abstract_norm_pattern_count,abstract_norm_pattern_per_1k,reputation_history_count,reputation_history_per_1k,explicit_game_rules_count,explicit_game_rules_per_1k,named_agent_markers_count,named_agent_markers_per_1k
2-agent directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,9,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,227,131,0.5770925110132159,6.564576338753807,11.894736842105264,19,2,8.810572687224669,0,0.0,7,30.837004405286343,0,0.0,2,8.810572687224669,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,9,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,224,131,0.5848214285714286,6.607915262176144,13.117647058823529,17,3,13.392857142857142,0,0.0,8,35.714285714285715,0,0.0,4,17.857142857142858,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,10,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,222,131,0.5900900900900901,6.562897031330167,13.8125,16,1,4.504504504504505,0,0.0,5,22.52252252252252,1,4.504504504504505,4,18.01801801801802,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_005_neutral_rep00_myth_game_directive_anything,10,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,222,118,0.5315315315315315,6.345428873785865,13.8125,16,2,9.00900900900901,0,0.0,11,49.549549549549546,0,0.0,6,27.027027027027028,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,1,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,205,116,0.5658536585365853,6.213242126545434,15.76923076923077,13,2,9.75609756097561,0,0.0,3,14.634146341463415,1,4.878048780487805,6,29.26829268292683,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,1,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,207,121,0.5845410628019324,6.441077572323206,15.923076923076923,13,4,19.32367149758454,1,4.830917874396135,7,33.81642512077295,0,0.0,7,33.81642512077295,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,2,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,201,121,0.6019900497512438,6.418204160000504,14.285714285714286,14,3,14.925373134328359,0,0.0,9,44.776119402985074,1,4.975124378109452,12,59.701492537313435,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,2,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,209,131,0.6267942583732058,6.540108758934738,13.0,16,2,9.569377990430622,0,0.0,4,19.138755980861244,0,0.0,8,38.27751196172249,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,3,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,225,133,0.5911111111111111,6.485659259962407,17.23076923076923,13,2,8.88888888888889,0,0.0,9,40.0,0,0.0,7,31.11111111111111,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,3,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,221,123,0.5565610859728507,6.481458563859778,14.666666666666666,15,4,18.099547511312217,0,0.0,13,58.8235294117647,2,9.049773755656108,13,58.8235294117647,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,4,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,221,118,0.5339366515837104,6.461700410577084,12.222222222222221,18,7,31.67420814479638,2,9.049773755656108,10,45.248868778280546,1,4.524886877828054,12,54.29864253393665,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,4,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,230,133,0.5782608695652174,6.53446941962211,14.3125,16,5,21.73913043478261,0,0.0,11,47.82608695652174,1,4.3478260869565215,7,30.434782608695652,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,5,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,222,121,0.545045045045045,6.433627881983427,12.277777777777779,18,10,45.04504504504504,0,0.0,9,40.54054054054054,0,0.0,11,49.549549549549546,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,5,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,238,141,0.592436974789916,6.781762631131803,11.85,20,2,8.403361344537815,2,8.403361344537815,10,42.016806722689076,1,4.201680672268908,8,33.61344537815126,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,6,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,229,138,0.6026200873362445,6.6234094804015164,12.0,19,4,17.467248908296945,0,0.0,6,26.200873362445414,1,4.366812227074236,12,52.40174672489083,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,6,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,222,130,0.5855855855855856,6.554218264921895,10.045454545454545,22,5,22.52252252252252,0,0.0,16,72.07207207207207,1,4.504504504504505,11,49.549549549549546,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,7,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,228,148,0.6491228070175439,6.835463001512999,12.61111111111111,18,5,21.92982456140351,0,0.0,7,30.70175438596491,2,8.771929824561404,3,13.157894736842104,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,7,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,224,151,0.6741071428571429,6.8762052462309535,12.38888888888889,18,5,22.321428571428573,1,4.464285714285714,6,26.785714285714285,2,8.928571428571429,3,13.392857142857142,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,8,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,233,149,0.6394849785407726,6.8352443367898035,12.88888888888889,18,2,8.583690987124463,1,4.291845493562231,8,34.33476394849785,1,4.291845493562231,2,8.583690987124463,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,8,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,226,157,0.6946902654867256,6.945299429614804,16.071428571428573,14,3,13.274336283185841,3,13.274336283185841,12,53.097345132743364,0,0.0,6,26.548672566371682,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,9,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,236,142,0.6016949152542372,6.739545690103031,13.823529411764707,17,8,33.898305084745765,0,0.0,5,21.1864406779661,0,0.0,6,25.423728813559322,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,9,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,232,152,0.6551724137931034,6.790180281772543,12.157894736842104,19,11,47.41379310344828,1,4.310344827586207,8,34.48275862068966,1,4.310344827586207,7,30.17241379310345,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,10,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,231,136,0.5887445887445888,6.58350238397493,13.529411764705882,17,10,43.29004329004329,1,4.329004329004329,7,30.303030303030305,0,0.0,3,12.987012987012987,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_006_neutral_rep01_myth_game_directive_anything,10,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,237,150,0.6329113924050633,6.829189448268167,13.882352941176471,17,8,33.755274261603375,1,4.219409282700422,7,29.535864978902953,0,0.0,5,21.09704641350211,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,1,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,208,138,0.6634615384615384,6.638728600310393,13.0,16,4,19.23076923076923,4,19.23076923076923,6,28.846153846153847,0,0.0,11,52.88461538461539,0,0.0
