arm,replicate_id,round,standard_send_ratio,standard_return_ratio
on,75,4,1.0,0.488
on,75,5,0.6666666666666666,0.4836666666666667
on,75,6,1.0,0.5166666666666666
on,75,7,1.0,0.46555555555555556
on,75,8,1.0,0.5
on,75,9,1.0,0.20866666666666667
on,75,10,1.0,0.45799999999999996
on,76,1,1.0,0.48833333333333334
on,76,2,1.0,0.48333333333333334
on,76,3,1.0,0.4666666666666667
on,76,4,1.0,0.4846666666666667
on,76,5,0.6666666666666666,0.5
on,76,6,1.0,0.45533333333333337
on,76,7,0.6666666666666666,0.44599999999999995
on,76,8,1.0,0.4508888888888889
on,76,9,1.0,0.5
on,76,10,1.0,0.43166666666666664
on,77,1,1.0,0.48333333333333334
on,77,2,1.0,0.5
on,77,3,0.5,0.5399999999999999
on,77,4,1.0,0.45133333333333336
on,77,5,1.0,0.5213333333333333
on,77,6,1.0,0.4862222222222223
on,77,7,1.0,0.4166666666666667
on,77,8,1.0,0.5833333333333333
on,77,9,0.75,0.6666666666666666
on,77,10,0.5,0.5
on,78,1,1.0,0.479
on,78,2,1.0,0.5222222222222221
on,78,3,1.0,0.4826666666666667
on,78,4,1.0,0.489
on,78,5,1.0,0.5
on,78,6,1.0,0.48033333333333333
on,78,7,1.0,0.5
on,78,8,1.0,0.4776666666666667
on,78,9,1.0,0.5
on,78,10,1.0,0.5
on,79,1,1.0,0.5333333333333333
on,79,2,1.0,0.552
on,79,3,1.0,0.5239999999999999
on,79,4,1.0,0.49222222222222217
on,79,5,1.0,0.43333333333333335
on,79,6,1.0,0.5523333333333333
on,79,7,1.0,0.5
on,79,8,1.0,0.5573333333333333
on,79,9,1.0,0.469
on,79,10,1.0,0.48333333333333334
