metric,label,contrast,primary,n_pairs,estimate,ci_low,ci_high,t_statistic,p_value,cohens_dz,pairs_same_direction,pairs_zero,p_holm
standard_send_ratio,Ordinary-agent proportion sent,deduction available − unavailable,True,10,-0.027666666666666652,-0.06683305712591756,0.011499723792584252,-1.59796058402196,0.14451615856308864,-0.505319505668226,5,3,0.14451615856308864
standard_return_ratio,Ordinary receiver return ratio,deduction available − unavailable,True,10,-0.049122584871269054,-0.07917853731763452,-0.01906663242490359,-3.6972046526473425,0.0049419106660792715,-1.1691587678137285,9,0,0.009883821332158543
myth_coop_density,Ordinary myth cooperation density,deduction available − unavailable,False,10,0.15766877563477905,-0.05868481452381338,0.37402236579337145,1.64855850045845,0.13363969453063526,0.521319971748044,6,0,
myth_threat_density,Ordinary myth threat density,deduction available − unavailable,False,10,0.34062094558111716,0.2880957094701111,0.39314618169212323,14.669864791012397,1.3684393760832624e-07,4.639018570630917,10,0,
myth_half_rule,Ordinary myth explicit half-rule,deduction available − unavailable,False,10,-0.02,-0.05362844457131982,0.013628444571319818,-1.3453831669534844,0.21141541041216574,-0.4254475133223589,5,2,
myth_punishment_density,Ordinary myth punishment density,deduction available − unavailable,False,10,0.22068908255463135,0.1641159819409555,0.2772621831683072,8.824571809733461,1.0026928247209673e-05,2.790574629447178,10,0,
myth_punishment_presence,Ordinary myth punishment presence,deduction available − unavailable,False,10,0.3783333333333333,0.29648979342539394,0.46017687324127265,10.45714128334574,2.463526296413407e-06,3.3068384269548727,10,0,
