metric,contrast,primary,n_pairs,estimate,ci_low,ci_high,p_value,cohens_dz
round1_trust_ratio,Anonymous record − private memory,False,5,2.2204460492503132e-17,-0.2059066798867207,0.20590667988672076,0.9999999999999998,1.33897934774369e-16
round1_trust_ratio,Anonymous record − stable IDs,False,5,0.18,-0.10314295539645502,0.463142955396455,0.15231741139130156,0.7893522173763261
round1_trust_ratio,Public ledger − anonymous record,False,5,-0.13999999999999999,-0.33335702727741123,0.053357027277411234,0.11476192246455903,-0.8990258186951098
final_balance,Anonymous record − private memory,True,5,-0.475,-5.361156383067717,4.411156383067718,0.8005838844760932,-0.12070641070568762
final_balance,Anonymous record − stable IDs,False,5,4.525,-5.12673522775089,14.176735227750891,0.26293183308223594,0.5821263699523707
final_balance,Public ledger − anonymous record,False,5,-3.5125,-9.001687153981328,1.9766871539813273,0.15027310456876086,-0.7945338119009898
mean_trust_ratio,Anonymous record − private memory,False,5,-0.009499999999999887,-0.10722312766135429,0.08822312766135453,0.8005838844760956,-0.1207064107056861
mean_trust_ratio,Anonymous record − stable IDs,False,5,0.09050000000000007,-0.10253470455501774,0.2835347045550179,0.2629318330822356,0.5821263699523711
mean_trust_ratio,Public ledger − anonymous record,False,5,-0.07025000000000008,-0.18003374307962666,0.03953374307962651,0.1502731045687606,-0.7945338119009905
mean_return_ratio,Anonymous record − private memory,False,5,0.021409469461423837,-0.04734543621613322,0.0901643751389809,0.4360503604665664,0.3866395741354393
mean_return_ratio,Anonymous record − stable IDs,False,5,0.13798340450800203,0.024975544432297367,0.2509912645837067,0.027528493969537587,1.5160806125556139
mean_return_ratio,Public ledger − anonymous record,False,5,0.020187553319573427,-0.034899220748674464,0.07527432738782132,0.36646223760861574,0.4550304241391662
