model,task_order,noise_condition,round,ttr_mean,ttr_std,ttr_count,entropy_bits_mean,entropy_bits_std,entropy_bits_count,mean_sentence_length_mean,mean_sentence_length_std,mean_sentence_length_count,n_tokens_mean,n_tokens_std,n_tokens_count
anthropic/claude-sonnet-4.5,myth_game,no_noise,1,0.6096827372423289,0.03531237486655105,40,6.498482800084268,0.1609742545100039,40,13.657339148209891,2.214471861889886,40,206.475,5.178790572602041,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,2,0.6416962789614507,0.03882458256202595,40,6.613144188463967,0.15165654400668835,40,13.625997448221714,2.2995279838433684,40,208.0,5.679472709363984,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,3,0.6270777860569392,0.03406620011513461,40,6.636507657437567,0.13206698339950348,40,13.107889260787449,2.3576749532413817,40,212.525,5.719904517761439,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,4,0.6295865849763399,0.03460115202409712,40,6.698396837068107,0.1404189152461584,40,12.669855847841529,2.007796338218027,40,215.925,6.588208191874874,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,5,0.6254079302980781,0.03335567280405993,40,6.728972978236858,0.1282672687977693,40,12.623645284791225,2.24169294437757,40,220.225,6.977941434740384,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,6,0.6192812311198695,0.04063401946884362,40,6.725389672372144,0.14525364367028307,40,11.936603148979815,2.1555216830186272,40,222.05,7.581860944689993,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,7,0.6179555146840839,0.03770207937455578,40,6.725140301440774,0.14669998396674372,40,11.636501097246706,2.102501176207446,40,222.65,7.392130257482595,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,8,0.6132399061331053,0.04159450691372857,40,6.713144746280041,0.13339150005428674,40,11.387631388860239,1.5461190405587377,40,223.325,7.770382625961618,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,9,0.6233993618782641,0.0447770238875369,40,6.743090439139595,0.15030957404595247,40,11.408965968132714,1.628408820299311,40,224.25,7.516648189186453,40
anthropic/claude-sonnet-4.5,myth_game,no_noise,10,0.6210334724182429,0.05608510499436672,40,6.729905809463823,0.16887540963404954,40,10.887893500228925,1.7890285503816525,40,222.65,8.1320827117516,40
