model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_8,226,136,0.6017699115044248,6.691286153099827,9.782608695652174,23
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_2,230,161,0.7,7.03439792785868,9.956521739130435,23
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_4,225,136,0.6044444444444445,6.577189289203516,11.2,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,6,Agent_6,222,134,0.6036036036036037,6.601141288067433,10.045454545454545,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_6,223,140,0.6278026905829597,6.746669322114806,8.538461538461538,26
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_2,223,140,0.6278026905829597,6.746941072669193,10.571428571428571,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_5,235,137,0.5829787234042553,6.721567185690826,10.636363636363637,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_4,224,147,0.65625,6.803116289410458,10.136363636363637,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_1,225,140,0.6222222222222222,6.742162298997741,10.181818181818182,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_7,217,115,0.5299539170506913,6.421468628090015,9.0,24
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_8,231,130,0.5627705627705628,6.633035282136827,10.454545454545455,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,7,Agent_3,222,122,0.5495495495495496,6.473266946454968,8.84,25
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_3,227,134,0.5903083700440529,6.733225761221438,9.04,25
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_8,240,143,0.5958333333333333,6.753543563376956,10.391304347826088,23
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_4,228,132,0.5789473684210527,6.635140576818677,12.61111111111111,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_5,223,126,0.5650224215246636,6.55355269243687,11.1,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_2,226,148,0.6548672566371682,6.886579168696103,8.333333333333334,27
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_1,223,147,0.6591928251121076,6.840243990158386,10.090909090909092,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_7,229,141,0.6157205240174672,6.698643593029334,9.91304347826087,23
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,8,Agent_6,242,146,0.6033057851239669,6.784496452430124,10.954545454545455,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_5,220,135,0.6136363636363636,6.686083035056762,11.526315789473685,19
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_3,242,137,0.5661157024793388,6.680045471604323,10.041666666666666,24
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_8,234,144,0.6153846153846154,6.779490470526875,11.65,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_6,231,135,0.5844155844155844,6.5852340444266595,11.5,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_1,223,151,0.6771300448430493,6.886490021004458,9.652173913043478,23
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_7,237,148,0.6244725738396625,6.762794641170158,11.238095238095237,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_4,222,121,0.545045045045045,6.4420771603969085,12.277777777777779,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,9,Agent_2,218,148,0.6788990825688074,6.917890300455744,8.037037037037036,27
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_3,236,119,0.5042372881355932,6.391262661718235,11.75,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_4,219,126,0.5753424657534246,6.517587233652145,10.380952380952381,21
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_2,234,153,0.6538461538461539,6.894043229338596,12.944444444444445,18
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_5,225,128,0.5688888888888889,6.580465690620877,9.333333333333334,24
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_7,240,141,0.5875,6.717395684250475,10.863636363636363,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_8,233,133,0.5708154506437768,6.6492644830060135,10.545454545454545,22
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_6,225,126,0.56,6.462665508623169,11.2,20
anthropic/claude-sonnet-4.5,myth_game,no_noise,,anything,,10,Agent_1,229,141,0.6157205240174672,6.7325523557713485,12.666666666666666,18
